variable,col1
balance,0.355389208667
curve,0.342344778979
long_shots,0.314088277027
long_passing,0.286962425418
jumping,0.266942792829
standing_tackle,0.265540311336
penalties,0.254928137548
positioning,0.245770558609
sliding_tackle,0.233916733078
interceptions,0.233030411276
heading_accuracy,0.222480344503
strength,0.208381433524
dribbling,0.200189906872
marking,0.196527416123
aggression,0.195615908453
shot_power,0.182618539762
ball_control,0.107804355818
volleys,0.0955729729911
finishing,0.0899621020386
stamina,0.0872038621267
crossing,0.0853436180721
short_passing,0.0805825792504
sprint_speed,0.0728141229582
vision,0.0686224381613
acceleration,0.0672082899073
free_kick_accuracy,0.0553565291563
agility,0.0397499697618
reactions,0.036245678628
gk_diving,0.0348166129998
gk_reflexes,0.0303448676614
gk_positioning,0.0157731205777
gk_handling,0.014979307709
gk_kicking,0.0128923881788
