variable,col1
long_shots,0.59043502821
free_kick_accuracy,0.550502350775
jumping,0.474676468047
aggression,0.473473550437
volleys,0.454171049041
interceptions,0.436965638808
stamina,0.405784209333
curve,0.404760243392
sprint_speed,0.403828577504
long_passing,0.398109697828
marking,0.370368509995
sliding_tackle,0.359487745659
finishing,0.35645637653
ball_control,0.354130336925
heading_accuracy,0.35143971806
crossing,0.325964946359
acceleration,0.3086787996
balance,0.301437057698
shot_power,0.260334358871
strength,0.239195364385
gk_diving,0.2391305168
standing_tackle,0.225743032997
penalties,0.221967041819
agility,0.211346125337
reactions,0.199937199701
dribbling,0.16102479899
gk_kicking,0.149187793252
vision,0.142612890645
gk_positioning,0.136583433504
positioning,0.13554343366
gk_reflexes,0.134974365635
gk_handling,0.121033656211
short_passing,0.100715683991
