name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Lazaros Christodoulopoulos,73.67,74.0,71.0,61.67,78.33,71.33,79.33,75.33,74.67,76.67,75.33,74.33,56.0,76.67,62.67,77.0,73.67,77.0,55.33,56.67,76.0,74.0,72.0,43.0,54.33,52.67,mid
Lorenzo De Silvestri,76.5,77.75,39.75,78.75,68.75,59.75,63.75,61.75,65.75,79.0,84.0,72.0,58.0,73.75,78.0,85.0,79.0,74.75,74.75,74.75,65.75,48.75,51.75,72.0,76.25,76.0,mid
Angelo Palombo,71.33,73.0,45.0,72.0,74.0,39.0,68.0,74.0,76.0,68.0,68.0,62.0,72.0,77.0,68.0,69.0,76.0,75.0,74.0,73.0,68.0,66.0,66.0,68.0,72.0,70.0,mid
Edgar Barreto,75.0,66.33,52.33,60.67,76.33,68.33,72.67,78.33,76.33,67.33,67.67,68.33,62.33,82.0,52.0,77.0,75.0,74.33,82.33,75.67,67.0,78.33,60.67,63.67,74.33,75.67,mid
Ricardo Alvarez,77.0,81.5,68.5,65.5,80.5,73.5,81.5,77.5,77.5,64.0,67.0,74.0,56.0,78.5,75.5,75.0,76.5,75.0,74.5,52.5,74.5,68.5,73.5,45.5,63.5,58.5,mid
Nenad Krsticic,71.6,63.2,56.8,54.8,75.2,59.2,61.2,52.2,72.2,69.0,69.0,73.0,68.2,71.2,59.0,77.0,69.0,67.2,77.2,69.8,67.0,69.2,54.2,48.8,74.6,70.6,mid
Fernando,76.0,62.5,65.5,62.5,74.5,44.5,62.5,62.5,68.5,77.0,77.5,77.0,80.5,72.5,81.0,81.0,75.0,71.5,79.5,82.5,49.5,71.0,60.5,79.0,77.5,76.5,mid
Dodo,72.25,77.25,45.25,58.25,74.25,50.25,77.25,58.5,65.25,78.5,79.0,77.0,79.5,71.25,73.0,75.0,62.0,60.25,75.38,66.25,66.25,64.25,45.25,67.25,71.25,69.25,mid
Roberto Soriano,74.0,69.75,62.75,60.75,77.75,68.75,66.75,59.75,75.75,77.0,76.0,70.0,70.0,70.75,65.0,77.0,70.0,60.75,71.75,67.75,72.75,71.75,61.75,47.75,72.75,68.75,mid
Carlos Carbonero,73.14,69.0,65.0,47.57,76.71,59.57,68.71,61.0,73.29,84.0,87.0,78.0,79.0,76.43,42.0,82.57,69.0,79.29,48.29,64.29,71.86,73.86,63.0,22.0,36.29,35.14,mid
Jacopo Sala,69.8,72.4,51.8,64.4,71.2,69.4,67.4,67.8,68.4,71.4,72.4,70.0,70.6,72.2,67.8,73.0,71.4,69.8,77.2,68.4,66.8,69.2,57.8,65.2,69.2,70.0,mid
Joaquin Correa,73.0,71.75,53.25,48.75,72.75,68.75,69.75,66.75,71.75,82.75,81.0,79.0,71.5,69.75,49.0,74.0,70.75,70.75,55.25,32.25,64.25,70.25,56.75,25.5,32.75,29.75,mid
David Ivan,58.67,56.0,48.67,49.67,64.67,50.67,61.67,54.67,58.67,56.0,56.67,58.0,68.0,51.67,57.0,36.0,44.0,50.67,59.0,43.33,60.0,58.33,60.67,45.67,52.33,54.33,mid
