name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Edouard Duplan,72.0,68.0,74.0,72.0,69.0,64.0,76.0,54.0,52.0,63.0,75.0,68.0,65.0,75.0,72.0,72.0,67.0,93.0,72.0,63.0,59.0,62.0,52.0,73.0,74.0,62.0,54.0,55.0,47.0,12.0,16.0,7.0,15.0,12.0,for
Mike Havenaar,72.0,38.0,69.0,85.0,58.0,62.0,66.0,43.0,39.0,52.0,73.0,59.0,69.0,60.0,74.0,41.0,72.0,84.0,74.0,76.0,55.0,28.0,15.0,78.0,65.0,64.0,16.0,20.0,19.0,7.0,11.0,13.0,8.0,8.0,for
Thomas Kristensen,69.75,62.75,53.25,55.0,75.5,49.75,63.75,63.75,53.75,70.5,70.75,62.0,59.5,46.75,75.0,52.0,72.75,71.75,81.75,76.0,60.5,72.25,71.25,63.75,65.75,60.75,64.75,60.75,49.25,13.75,9.75,12.75,11.75,13.75,mid
Gianni Zuiverloon,67.0,57.5,49.0,60.0,62.5,47.5,66.5,47.5,41.5,61.5,62.5,68.0,75.5,62.0,65.0,66.0,59.5,76.5,75.0,71.0,37.5,70.5,65.0,54.5,60.5,68.5,68.5,68.5,69.0,11.5,8.5,8.5,13.5,13.5,def
Timothy Derijck,67.67,30.67,41.67,68.67,65.0,26.67,46.33,42.67,39.67,67.33,63.33,56.67,66.0,62.0,55.67,55.0,43.67,74.33,70.0,73.33,55.67,82.0,67.33,32.67,40.67,61.67,66.0,66.0,64.67,7.67,8.67,11.67,11.67,13.67,mid
Ruben Schaken,72.0,77.0,67.0,47.0,72.0,56.0,75.0,73.0,54.0,51.0,71.0,77.0,79.0,69.0,69.0,77.0,70.0,62.0,65.0,71.0,60.0,66.0,33.0,72.0,62.0,49.0,33.0,36.0,30.0,9.0,9.0,7.0,7.0,9.0,mid
Martin Hansen,70.0,13.67,27.67,16.33,16.33,17.0,17.0,17.67,17.0,15.67,22.67,53.0,48.0,50.0,72.67,51.0,18.33,70.0,33.0,66.0,19.0,23.67,23.67,18.33,25.67,17.67,17.0,17.67,17.67,70.33,66.33,66.33,70.33,71.33,gk
Aaron Meijers,69.0,63.0,42.0,59.0,70.0,60.0,70.0,72.0,67.0,53.0,74.0,75.0,77.0,69.0,70.0,72.0,67.0,70.0,78.0,66.0,61.0,73.0,67.0,65.0,71.0,56.0,67.0,68.0,65.0,7.0,15.0,7.0,10.0,15.0,def
Vito Wormgoor,68.25,40.75,27.75,70.25,61.75,57.75,46.75,57.75,61.75,59.75,64.25,39.75,43.75,45.0,60.75,49.0,63.75,71.0,68.0,85.0,21.75,72.75,63.25,26.75,58.75,50.75,66.25,68.25,68.25,8.75,11.75,14.75,11.75,10.75,def
Dion Malone,67.5,70.75,29.75,61.5,68.5,29.75,61.5,44.0,36.75,58.25,63.75,49.25,72.0,57.5,66.75,48.0,67.75,73.25,76.5,79.0,55.75,80.75,63.5,57.75,58.5,32.75,64.75,70.25,69.75,10.75,10.75,8.75,11.75,7.75,mid
Roland Alberg,70.8,74.4,63.6,59.4,72.6,67.4,68.8,78.6,65.2,70.8,70.8,72.6,75.6,71.0,69.4,69.8,76.0,70.0,70.0,72.0,72.8,48.4,44.2,69.6,72.8,73.2,39.4,42.4,45.4,12.4,14.4,9.4,5.4,10.4,mid
Tom Beugelsdijk,67.33,24.33,33.33,72.33,47.33,28.33,32.33,34.33,22.33,41.33,53.0,49.0,61.67,37.67,55.0,34.0,55.33,74.0,60.0,86.0,32.33,83.67,57.67,35.33,35.33,43.33,64.0,70.0,63.33,10.33,12.33,14.33,7.33,9.33,def
Ludcinio Marengo,64.0,64.0,51.0,23.0,58.0,56.0,67.0,59.0,34.0,44.0,62.0,87.0,80.0,85.0,62.0,80.0,45.0,66.0,64.0,53.0,44.0,56.0,21.0,59.0,54.0,50.0,20.0,19.0,22.0,8.0,10.0,8.0,10.0,9.0,for
Kevin Jansen,68.0,67.0,46.0,58.0,73.0,44.0,64.0,66.0,61.0,67.0,70.0,67.0,64.0,67.0,66.0,60.0,64.0,64.0,72.0,68.0,65.0,60.0,64.0,65.0,70.0,52.0,58.0,56.0,56.0,15.0,8.0,10.0,13.0,15.0,mid
Wilfried Kanon,70.33,30.5,24.5,68.5,57.5,34.5,60.5,32.5,29.5,51.0,62.0,66.0,61.0,46.5,55.5,50.0,64.5,71.0,64.0,84.5,47.5,66.5,73.5,24.5,30.5,44.5,73.5,71.0,69.67,7.5,12.5,14.5,6.5,10.5,def
Giovanni Korte,66.25,62.0,64.75,39.0,57.75,58.5,70.75,51.5,40.25,45.5,65.25,86.0,84.0,77.0,60.5,82.0,65.0,58.0,66.0,55.0,60.75,68.5,29.5,64.5,50.5,60.75,21.5,34.5,22.5,5.5,11.5,7.5,10.5,7.5,for
Danny Bakker,66.67,42.67,38.67,62.67,71.33,40.67,63.67,55.67,61.67,65.67,66.33,63.0,64.0,65.33,64.33,65.0,59.67,67.67,69.33,60.0,60.67,59.33,67.0,53.67,62.67,46.67,68.67,66.67,65.67,7.67,5.67,9.67,6.67,13.67,mid
Tyronne Ebuehi,63.0,62.0,33.0,48.0,50.0,30.0,65.0,41.0,33.0,47.0,62.0,76.0,79.0,66.0,57.0,68.0,36.0,57.0,66.0,62.0,30.0,64.0,58.0,49.0,41.0,47.0,62.0,67.0,69.0,8.0,16.0,16.0,11.0,14.0,def
Hector Hevel,60.0,58.5,61.5,43.5,59.5,51.5,65.5,49.5,45.5,55.5,66.5,71.0,69.0,64.5,45.5,65.0,64.5,46.0,43.0,40.0,43.5,38.5,21.5,48.5,50.5,57.5,30.5,32.5,41.5,12.5,5.5,15.5,5.5,12.5,mid
Kenji Gorre,64.0,58.75,60.0,39.75,62.0,50.25,67.0,63.75,35.75,49.75,65.5,75.5,68.25,72.0,63.0,65.0,68.25,45.0,55.0,67.0,61.75,42.75,35.75,61.5,60.25,51.75,29.75,35.75,32.75,6.75,15.75,7.75,12.75,9.75,for
