variable,col1
crossing,0.495153123615
shot_power,0.430404054325
curve,0.304003553049
vision,0.278090558961
dribbling,0.262226061769
ball_control,0.225613218376
sprint_speed,0.220885068802
stamina,0.209989899793
jumping,0.203285780226
aggression,0.201965615821
strength,0.198938845278
acceleration,0.174989811211
long_shots,0.1668287679
finishing,0.1521083967
standing_tackle,0.149229439324
positioning,0.145222758047
agility,0.142905821524
heading_accuracy,0.138646175673
interceptions,0.132399984602
penalties,0.121299682529
balance,0.0935268034442
gk_handling,0.0840772680161
marking,0.0779319755632
reactions,0.0746137483442
volleys,0.0671940427219
free_kick_accuracy,0.061023880783
sliding_tackle,0.0474538056663
short_passing,0.0324494829634
gk_reflexes,0.0269020510025
gk_positioning,0.0256723773812
long_passing,0.0230155160472
gk_diving,0.0170549772618
gk_kicking,0.0148974532792
