variable,col1
heading_accuracy,0.682022066523
penalties,0.639672961617
stamina,0.621454739663
crossing,0.59856785412
volleys,0.581771105497
aggression,0.530876100483
curve,0.512029621145
finishing,0.488195516047
free_kick_accuracy,0.474616425882
marking,0.44607730212
long_shots,0.428263398841
jumping,0.404624220441
interceptions,0.370536289494
balance,0.353138434839
sprint_speed,0.351108278929
long_passing,0.346498832731
strength,0.275234353565
sliding_tackle,0.243288849308
positioning,0.237724820134
shot_power,0.209001927538
standing_tackle,0.206731141163
agility,0.155434755306
dribbling,0.131482844291
gk_kicking,0.105840112522
acceleration,0.0957712098468
gk_reflexes,0.0911414385539
reactions,0.0774134516804
short_passing,0.0773822272639
vision,0.0703874039268
gk_positioning,0.0613278213677
ball_control,0.0482265421335
gk_handling,0.0459214397221
gk_diving,0.0382365133054
