variable,col1
strength,0.606871976968
heading_accuracy,0.590934928081
free_kick_accuracy,0.566461112951
acceleration,0.537618406273
jumping,0.529310224727
aggression,0.52158533254
agility,0.428585476576
long_shots,0.396368190901
balance,0.376381672942
sprint_speed,0.33829960683
standing_tackle,0.333790595528
long_passing,0.288533364879
interceptions,0.281144554508
sliding_tackle,0.27704022555
shot_power,0.267955449703
reactions,0.257886010342
curve,0.249646813508
finishing,0.237128896164
vision,0.211864527984
marking,0.203136441942
positioning,0.198168130482
volleys,0.186457807538
dribbling,0.166709813028
stamina,0.161847201392
crossing,0.144419656798
ball_control,0.124851199644
penalties,0.120642433845
gk_kicking,0.107978105682
short_passing,0.0984914046109
gk_diving,0.0578600974117
gk_reflexes,0.0532508868857
gk_handling,0.0411669448433
gk_positioning,0.0376125089434
