variable,col1
finishing,0.459794171788
free_kick_accuracy,0.358055638888
strength,0.319757926996
agility,0.314656133644
heading_accuracy,0.282595858996
penalties,0.267460107342
standing_tackle,0.227923727432
balance,0.225082502585
marking,0.204023065394
acceleration,0.201554097554
curve,0.19670587598
jumping,0.194732560606
short_passing,0.185514822465
sliding_tackle,0.165537554268
crossing,0.145065224819
long_passing,0.140806127018
interceptions,0.129802137954
aggression,0.118771325588
dribbling,0.118466279706
vision,0.0995948666684
long_shots,0.0905385269784
sprint_speed,0.0750449746742
volleys,0.0735220741005
shot_power,0.0715924065586
stamina,0.0657107744549
reactions,0.0546236980765
positioning,0.0446999411729
gk_handling,0.042051419095
gk_kicking,0.0323777314619
gk_positioning,0.0298111473545
gk_diving,0.0228909405244
gk_reflexes,0.0215616203547
ball_control,0.0196747395004
