variable,col1
curve,0.478755946805
jumping,0.465956606169
free_kick_accuracy,0.446903236567
penalties,0.396325445745
acceleration,0.390641599898
long_shots,0.355217656936
dribbling,0.31875451926
stamina,0.306786377294
sprint_speed,0.30429280838
shot_power,0.300380324641
sliding_tackle,0.289692277049
volleys,0.276347827487
crossing,0.243927300095
long_passing,0.233245049055
aggression,0.230027622995
marking,0.203703205511
standing_tackle,0.191877472319
interceptions,0.171784793873
positioning,0.166944697634
finishing,0.147529621581
heading_accuracy,0.144812158481
vision,0.140395294223
strength,0.127907477177
short_passing,0.120366063769
agility,0.119166684015
reactions,0.11444956191
balance,0.0964463070542
gk_diving,0.0531642069086
ball_control,0.0513861231951
gk_kicking,0.0498319281214
gk_reflexes,0.0302366969706
gk_positioning,0.0185435923923
gk_handling,0.0141995164891
