variable,col1
jumping,0.388369158006
stamina,0.378835813077
shot_power,0.350165145639
free_kick_accuracy,0.311823508487
positioning,0.298555121684
marking,0.292865455157
acceleration,0.286157721645
crossing,0.279669713244
volleys,0.257514071647
reactions,0.255839831097
vision,0.246427222077
curve,0.237243666103
long_shots,0.235589891934
sprint_speed,0.214988209703
dribbling,0.212623736503
balance,0.165206347232
strength,0.155979457376
agility,0.148503723351
short_passing,0.143987363365
gk_handling,0.138525389117
interceptions,0.136812545612
finishing,0.126746216623
heading_accuracy,0.122146765655
aggression,0.112614980988
penalties,0.107930112186
long_passing,0.102287006642
gk_kicking,0.0676027234589
ball_control,0.0653178406935
standing_tackle,0.0492687840769
gk_diving,0.0384528513151
gk_positioning,0.0292608596519
sliding_tackle,0.024376246443
gk_reflexes,0.0183125202127
