name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Stijn Schaars,73.67,82.0,60.33,62.33,76.67,66.33,68.0,73.67,74.33,77.67,74.0,46.0,40.67,61.67,72.33,65.67,76.33,48.0,70.67,69.0,70.33,70.33,78.33,67.33,81.67,75.33,62.33,68.0,68.33,15.33,6.33,7.33,15.33,13.33,mid
Simon Poulsen,70.33,71.0,54.0,63.33,68.33,44.33,70.67,63.33,64.33,60.33,71.33,75.67,78.0,67.0,69.0,63.0,65.33,73.0,83.33,70.67,61.33,73.33,66.33,70.33,56.33,51.33,69.0,67.33,66.0,6.33,6.33,12.33,13.33,8.33,def
Andres Guardado,78.86,76.57,58.71,54.14,80.86,68.14,81.0,70.0,73.57,72.86,83.57,84.71,82.86,85.0,82.86,86.14,74.29,73.0,87.14,54.71,70.43,62.14,77.29,72.29,76.86,65.86,67.29,73.14,71.14,6.14,9.14,9.14,10.14,9.14,mid
Hector Moreno,78.5,49.5,32.5,77.5,72.5,54.5,52.0,47.5,27.5,67.5,67.0,68.5,67.5,68.0,71.5,62.0,62.5,77.5,73.5,80.0,38.5,77.5,76.5,34.5,58.5,62.5,79.5,82.0,84.0,11.5,14.5,13.5,8.5,9.5,def
Luuk de Jong,77.33,69.33,75.5,89.0,74.33,76.83,71.0,67.33,64.33,57.33,77.0,62.0,66.0,74.0,78.67,57.0,78.67,73.0,78.67,78.0,71.33,49.33,33.67,83.0,72.0,74.67,38.33,39.33,36.33,15.33,9.33,7.33,7.33,10.33,for
Jeroen Zoet,78.0,17.0,12.0,19.0,37.0,19.0,15.0,13.0,16.0,38.0,34.0,57.0,45.0,54.0,77.0,42.0,25.0,57.0,44.0,63.0,17.0,18.0,21.0,11.0,57.0,27.0,16.0,18.0,16.0,79.0,76.0,78.0,76.0,83.0,gk
Luciano Narsingh,76.5,76.0,66.0,40.0,75.0,62.0,78.0,69.0,59.0,42.0,76.0,93.0,93.0,82.0,74.5,77.0,65.0,34.0,74.0,65.0,54.0,28.0,20.0,73.0,73.0,58.0,19.0,28.0,22.0,10.0,8.0,14.0,8.0,6.0,for
Maxime Lestienne,76.33,69.67,74.67,46.67,74.67,66.67,80.0,71.67,72.67,71.33,75.0,86.33,85.33,84.0,75.67,85.0,70.67,73.0,91.0,47.0,72.67,70.67,33.0,73.33,75.33,67.67,28.67,26.67,33.67,8.67,14.67,11.67,10.67,6.67,for
Davy Proepper,75.0,57.5,66.5,64.5,76.0,68.5,73.75,72.5,70.5,68.5,80.0,69.0,70.0,72.0,77.5,64.0,77.75,70.0,78.0,64.0,78.0,67.0,62.0,68.5,80.0,68.5,55.0,64.5,48.5,15.5,7.5,15.5,8.5,5.5,mid
Jeffrey Bruma,77.0,40.0,38.0,80.0,75.0,34.0,59.0,43.0,66.0,76.0,61.0,54.0,69.0,52.0,68.0,47.0,86.5,80.0,70.0,88.0,65.0,81.0,68.0,49.0,61.0,39.0,75.0,85.0,76.0,11.0,16.0,16.0,12.0,13.0,def
Marco van Ginkel,74.71,70.29,69.14,68.0,78.0,72.29,73.29,66.0,62.0,76.0,79.0,74.43,77.43,74.0,75.14,64.57,73.14,76.29,84.86,78.0,70.57,66.71,65.14,73.14,75.71,64.0,54.86,66.14,61.86,6.29,10.29,12.29,12.29,13.29,mid
Santiago Arias,73.75,77.5,34.25,62.75,72.0,42.25,73.25,30.25,40.25,62.5,68.5,86.5,86.25,75.75,72.75,76.0,51.25,78.25,86.0,65.0,49.25,72.25,70.5,64.25,51.25,55.25,70.75,71.75,74.25,13.25,6.25,13.25,14.25,15.25,def
Adam Maher,76.0,73.0,65.67,45.67,79.67,76.67,76.67,75.67,74.67,71.0,83.67,71.67,74.0,81.0,74.67,80.0,73.67,53.0,69.0,44.0,73.0,58.67,57.67,68.67,77.67,58.67,44.67,55.67,51.67,14.67,6.67,6.67,10.67,7.67,mid
Nicolas Issimat Mirin,72.25,46.25,23.75,65.75,66.25,22.25,35.25,29.25,33.25,63.5,60.25,61.75,71.75,62.0,68.25,54.0,51.25,72.75,67.0,83.0,35.25,81.25,69.0,23.5,33.25,48.25,74.0,75.0,69.0,13.25,5.25,15.25,8.25,14.25,def
Jetro Willems,75.8,84.2,53.2,66.2,77.2,52.2,77.8,73.4,46.2,72.0,79.6,81.8,84.8,78.0,77.2,86.0,77.2,90.0,80.2,75.0,64.2,76.6,72.2,72.4,75.6,45.2,71.4,74.0,72.2,8.2,13.2,15.2,6.2,9.2,def
Jurgen Locadia,75.0,38.0,77.0,70.0,75.0,67.0,70.0,52.0,34.0,69.0,73.0,75.0,77.0,68.0,70.0,62.0,83.0,45.0,73.0,79.67,76.0,52.0,37.0,74.0,70.0,70.0,30.0,34.0,31.0,10.0,7.0,8.0,13.0,10.0,for
Joshua Brenet,69.67,67.67,35.67,65.67,65.67,28.0,70.0,29.67,30.67,55.33,65.17,85.0,91.0,70.0,63.67,69.0,29.67,66.33,70.0,65.0,24.0,70.67,67.33,55.67,52.67,55.67,68.67,72.5,68.0,15.67,10.67,12.67,9.67,8.67,def
Gaston Pereiro,73.33,64.0,70.0,74.0,68.0,68.0,79.0,64.0,70.0,58.0,82.0,76.0,79.0,75.0,73.0,56.0,82.0,71.0,59.0,75.0,77.0,57.0,30.0,67.0,64.0,62.0,39.0,40.0,36.0,7.0,15.0,10.0,10.0,12.0,for
Jorrit Hendrix,73.0,56.75,50.75,69.75,72.75,49.75,69.5,51.75,33.75,79.0,75.75,69.0,72.5,70.75,74.0,74.0,65.75,78.0,74.0,69.75,56.75,68.75,78.0,70.75,65.75,53.75,69.25,69.75,67.0,13.75,7.75,11.75,7.75,10.75,mid
