variable,col1
aggression,0.446638342604
strength,0.427434399925
interceptions,0.35933497848
free_kick_accuracy,0.323153357841
shot_power,0.31298472504
heading_accuracy,0.301097792535
positioning,0.247779542031
long_shots,0.241628851027
reactions,0.24149782293
curve,0.226567386188
sprint_speed,0.225982705169
acceleration,0.202599431343
vision,0.197700348135
standing_tackle,0.194170680493
volleys,0.19173227609
agility,0.181688675469
finishing,0.17245884638
gk_diving,0.165854246707
balance,0.148395801284
crossing,0.147246853525
jumping,0.135376288545
sliding_tackle,0.12880772194
stamina,0.115132283735
dribbling,0.10034340359
long_passing,0.0980344541927
ball_control,0.0923217117726
marking,0.0873290074064
gk_reflexes,0.0710122770123
penalties,0.0701718564786
short_passing,0.0566330411405
gk_handling,0.0470569725734
gk_positioning,0.021256402054
gk_kicking,0.0205775163607
