variable,col1
crossing,0.943680700998
shot_power,0.325685970297
balance,0.231831781641
curve,0.220513309326
positioning,0.193812996628
sprint_speed,0.154903569404
free_kick_accuracy,0.154895473837
volleys,0.153182754009
aggression,0.14368763147
finishing,0.128741885722
long_shots,0.124181250797
heading_accuracy,0.11714412015
acceleration,0.116858674153
marking,0.104475714004
penalties,0.101380184796
reactions,0.100909226325
agility,0.0904186835323
strength,0.0855527418524
interceptions,0.0771555059783
vision,0.0762772857258
jumping,0.0712498144559
sliding_tackle,0.0574994395221
stamina,0.0510574103198
dribbling,0.0444537030476
gk_handling,0.0368762042717
ball_control,0.027619066327
gk_diving,0.0161902432503
long_passing,0.0139165224576
standing_tackle,0.0130814188041
short_passing,0.00970412631313
gk_reflexes,0.00924817552831
gk_kicking,0.00210892585086
gk_positioning,0.00170548920656
