variable,col1
strength,0.385159653816
aggression,0.381230603729
curve,0.291492550431
marking,0.274372341491
free_kick_accuracy,0.233189765847
interceptions,0.210569312337
crossing,0.207271183932
sprint_speed,0.1855968676
penalties,0.180063344589
sliding_tackle,0.173955709376
standing_tackle,0.166748316363
long_shots,0.161513167477
long_passing,0.128791457049
finishing,0.122593013713
heading_accuracy,0.121393096215
stamina,0.093933846511
positioning,0.0936377063521
balance,0.0914419680017
acceleration,0.0825447148593
jumping,0.0589689184323
ball_control,0.0571311645766
reactions,0.0559517700578
volleys,0.0510872342977
vision,0.0423529937612
agility,0.0420352908755
shot_power,0.0389889043857
dribbling,0.0280829872397
short_passing,0.0141411596619
gk_reflexes,0.0110174256098
gk_positioning,0.0100681348998
gk_kicking,0.0023971690148
gk_diving,0.00144008347202
gk_handling,0.000838144026399
