variable,col1
gk_reflexes,0.692348398698
crossing,0.379904242867
agility,0.158525649232
acceleration,0.130221378036
balance,0.130221378036
sprint_speed,0.117288549247
long_passing,0.0472855162596
strength,0.0472855162596
shot_power,0.039631412308
ball_control,0.0293221373117
gk_diving,0.0233949258058
vision,0.0207009214971
sliding_tackle,0.0207009214971
dribbling,0.0181866514846
positioning,0.0181866514846
marking,0.0181866514846
short_passing,0.013932251978
reactions,0.013932251978
volleys,0.00989024044797
curve,0.00989024044797
gk_positioning,0.00989024044797
jumping,0.00813883612723
stamina,0.00813883612723
penalties,0.00656716610266
standing_tackle,0.00656716610266
free_kick_accuracy,0.00396302894208
long_shots,0.00396302894208
interceptions,0.00396302894208
gk_kicking,0.00396302894208
heading_accuracy,0.00295534476622
finishing,0.00203470903181
gk_handling,0.000738836191556
aggression,8.08629745981e-05
