name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Kasper Haemaelaeinen,68.9,59.3,67.1,70.9,72.3,64.3,64.3,67.3,33.3,65.3,65.3,75.3,76.0,72.0,66.3,63.0,62.3,62.9,73.0,72.0,62.3,47.3,56.3,69.9,73.4,51.3,43.3,53.3,52.3,10.3,15.3,5.3,6.3,14.3,for
Lukasz Tralka,68.0,53.71,57.29,69.29,64.29,53.29,55.0,62.29,62.29,68.29,60.29,68.0,67.0,59.0,58.86,61.0,61.29,69.29,85.29,77.57,55.29,72.0,71.86,64.29,65.86,72.29,64.0,69.0,60.86,11.29,11.29,14.29,10.29,15.29,mid
Jasmin Buric,69.25,18.0,19.0,19.5,22.5,20.0,18.0,19.0,21.5,23.5,21.5,30.0,30.0,48.0,76.5,46.0,18.5,65.0,42.0,60.5,19.0,22.0,20.5,20.0,35.0,20.0,20.0,18.5,19.0,70.5,65.5,60.5,65.0,76.0,gk
Dariusz Dudka,66.25,65.25,46.75,62.75,65.0,54.75,56.75,60.75,63.75,66.25,61.75,61.0,64.0,60.0,58.75,59.0,70.75,71.0,60.0,76.0,55.75,78.75,72.0,45.75,61.75,64.75,64.75,66.0,63.0,12.75,9.75,8.75,6.75,8.75,mid
Nicki Bille Nielsen,68.14,51.29,67.0,64.71,56.71,71.71,69.71,69.14,65.57,49.71,70.86,69.86,69.71,79.14,64.0,60.86,75.71,83.43,70.0,78.14,63.71,84.0,31.71,66.14,63.86,64.71,31.71,33.29,39.0,7.71,12.71,8.71,7.71,14.71,for
Marcin Robak,71.0,35.33,75.17,72.83,56.33,63.33,67.17,51.33,53.33,46.33,66.0,66.0,74.0,68.0,65.33,66.0,72.5,82.0,64.0,85.67,59.5,65.33,40.33,76.33,62.33,81.33,29.33,40.33,50.33,14.33,6.33,6.33,14.33,6.33,for
Szymon Pawlowski,71.5,60.5,72.0,42.5,66.5,64.5,71.38,69.5,62.5,58.5,70.88,87.0,85.38,90.0,74.75,78.0,71.5,82.0,88.75,54.0,68.25,44.5,49.5,71.5,67.5,67.5,20.0,51.5,48.5,6.5,9.5,7.5,14.5,7.5,mid
Maciej Gostomski,65.83,22.5,20.0,21.0,29.83,22.5,21.0,22.0,22.5,34.5,19.0,38.0,34.0,53.0,61.5,40.0,20.5,60.0,24.0,61.0,19.5,31.5,21.5,20.0,29.0,21.5,18.5,22.0,21.5,66.5,62.5,53.0,68.5,70.83,gk
Kebba Ceesay,67.2,64.4,59.6,56.6,57.6,43.6,55.6,39.6,35.6,61.6,62.6,87.4,88.2,72.0,60.4,68.8,49.6,80.2,84.0,76.8,51.6,74.6,61.6,63.6,45.6,58.6,63.4,67.0,67.0,13.6,14.6,15.6,15.6,12.6,def
Tamas Kadar,68.17,53.33,36.67,64.67,65.67,28.67,36.67,30.67,37.67,61.67,62.67,69.0,73.0,56.0,63.67,62.0,38.67,71.0,72.33,75.67,27.67,71.67,66.0,21.67,56.17,34.67,68.67,66.83,68.5,8.67,13.67,15.67,7.67,9.67,def
