variable,col1
jumping,0.252572497102
balance,0.250617751048
strength,0.232134429169
short_passing,0.215467574375
long_passing,0.170835191754
aggression,0.169208627138
gk_diving,0.161404633113
reactions,0.153147345444
vision,0.150113101804
agility,0.145651465267
gk_kicking,0.114546369792
gk_positioning,0.107464222272
curve,0.100222877243
acceleration,0.0985137680703
gk_handling,0.0955879618494
stamina,0.0725570601952
crossing,0.071692679667
gk_reflexes,0.062687078144
heading_accuracy,0.060003202495
sprint_speed,0.0474200365613
dribbling,0.0422179219602
standing_tackle,0.0353948910114
long_shots,0.0321894418181
volleys,0.025312959184
interceptions,0.0194744483515
marking,0.0180964051436
finishing,0.0171487364399
penalties,0.0161143750235
free_kick_accuracy,0.0155229816096
ball_control,0.0142555457001
sliding_tackle,0.0132616146337
shot_power,0.0121648767343
positioning,0.00699792988596
