name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Lukasz Surma,63.0,50.0,49.0,54.0,63.0,41.0,62.0,61.0,60.0,66.0,61.0,51.0,53.0,84.0,74.0,77.0,62.0,73.0,30.0,60.0,59.0,83.0,59.0,47.0,56.0,46.0,61.0,69.0,64.0,7.0,11.0,6.0,12.0,14.0,mid
Marek Zienczuk,65.67,76.67,62.67,51.67,63.67,64.67,63.67,75.67,70.67,68.67,67.67,60.0,64.0,58.67,69.67,67.0,67.67,59.0,32.0,64.0,77.67,61.67,43.67,71.67,70.67,62.67,31.67,52.67,34.67,15.67,14.67,14.67,5.67,15.67,mid
Rafal Grodzicki,65.0,39.5,24.5,47.5,53.5,34.5,29.5,42.5,38.5,69.5,30.5,34.0,33.0,47.0,69.5,33.0,62.5,32.0,85.0,93.0,32.5,85.0,65.5,27.5,28.5,52.5,61.25,69.25,70.25,15.5,10.5,12.5,5.5,14.5,def
Marek Szyndrowski,60.5,45.5,38.5,63.5,55.5,48.5,36.5,33.5,31.5,51.5,44.5,48.0,34.0,41.0,55.5,59.0,35.5,66.0,82.0,70.0,39.5,74.5,67.5,51.5,58.5,37.5,70.0,67.5,61.0,12.5,13.5,7.5,12.5,11.5,def
Maciej Iwanski,60.33,65.67,55.33,48.67,66.0,50.0,59.67,67.67,67.0,65.0,62.0,58.33,52.0,76.0,54.67,80.0,58.33,82.0,64.0,37.0,63.0,42.67,51.67,66.67,59.67,68.0,23.67,33.67,32.67,7.67,10.67,8.67,15.67,12.67,mid
Matus Putnocky,63.83,22.33,21.0,21.67,30.33,23.0,22.33,21.33,22.33,22.67,23.33,48.67,49.33,39.0,51.33,36.0,22.33,61.0,49.33,84.33,21.33,25.33,23.0,21.67,25.33,27.0,20.67,22.0,23.0,66.83,62.0,61.67,63.5,67.5,gk
Lukasz Hanzel,64.0,64.0,43.0,55.0,66.0,59.0,67.0,71.0,59.0,63.0,66.0,72.0,75.0,72.0,57.0,70.0,69.0,74.0,72.0,58.0,63.0,65.0,55.0,57.0,70.0,52.0,45.0,44.0,39.0,7.0,7.0,12.0,6.0,15.0,mid
Roland Gigolaev,64.0,53.0,57.0,55.0,65.0,65.33,65.67,54.0,46.0,62.0,63.0,71.33,76.0,70.0,60.0,70.0,65.67,55.0,73.0,59.67,60.0,57.33,37.0,62.33,62.0,58.0,51.0,49.0,49.0,8.0,6.0,6.0,9.0,8.0,mid
Eduards Visnakovs,63.67,27.67,65.33,69.33,47.67,55.0,62.67,59.67,61.67,34.67,56.33,69.0,72.0,59.67,61.67,62.33,65.67,71.0,57.0,65.0,63.67,36.67,28.67,64.33,47.67,61.67,21.0,42.33,26.67,12.67,8.67,13.67,8.67,10.67,for
Pawel Oleksy,63.33,64.0,48.33,62.33,52.33,36.33,52.33,39.33,30.33,61.33,54.33,69.0,70.0,62.0,55.33,61.0,40.33,53.0,58.0,59.0,45.33,65.33,72.33,53.33,31.33,35.33,66.67,65.33,63.33,15.33,14.33,14.33,9.33,8.33,def
Mariusz Stepinski,63.2,50.6,64.6,61.0,59.6,53.6,66.0,44.6,33.6,47.6,64.6,70.6,68.8,76.0,58.6,63.0,62.0,70.0,55.0,55.8,54.6,49.6,31.6,70.0,49.6,61.6,21.4,20.8,20.2,7.6,12.6,6.6,8.6,6.6,for
Martin Konczkowski,59.33,63.33,52.67,56.67,51.33,24.67,58.33,43.67,31.67,47.0,58.0,71.33,75.0,72.0,52.67,74.0,21.0,70.67,70.0,56.0,27.33,45.67,50.67,51.67,42.67,31.67,59.0,60.0,59.33,15.67,8.67,12.67,14.67,11.67,def
Mateusz Cichocki,60.5,24.0,24.0,59.0,45.0,26.0,34.0,31.0,24.0,45.0,49.0,63.0,61.0,49.0,47.0,53.0,35.0,71.0,56.0,70.0,18.0,48.0,63.5,27.0,30.0,35.0,60.0,66.0,66.0,14.0,11.0,11.0,7.0,11.0,def
Michal Koj,57.71,51.57,32.57,54.57,36.86,25.57,31.57,25.57,29.57,35.57,49.57,63.0,59.0,40.0,46.43,50.0,37.57,79.43,57.0,78.0,48.57,49.14,52.71,31.57,27.57,31.57,57.0,64.71,55.14,15.57,14.57,13.57,14.57,14.57,def
Kamil Mazek,56.86,53.86,48.57,37.57,54.71,55.57,56.71,48.57,37.57,47.71,56.86,83.57,86.0,64.86,43.29,79.0,58.57,66.71,53.71,40.0,38.57,28.57,23.57,50.57,51.29,53.57,22.14,22.57,25.57,11.57,14.57,11.57,9.57,5.57,mid
Patryk Lipski,58.67,54.0,46.33,57.67,66.0,42.67,61.67,53.67,53.67,58.67,59.33,65.33,65.67,67.0,52.67,68.0,58.33,64.0,47.0,57.67,55.0,45.0,37.67,51.67,60.0,62.67,38.67,32.67,41.67,6.67,8.67,7.67,5.67,7.67,mid
Maciej Urbanczyk,60.0,40.0,38.0,40.0,65.0,39.0,59.0,40.0,50.0,61.0,65.0,72.0,64.0,82.0,58.0,80.0,56.0,74.0,73.0,44.0,58.0,56.0,60.0,55.0,49.0,32.0,65.0,63.0,61.0,13.0,11.0,9.0,8.0,13.0,mid
