variable,col1
long_shots,0.46276230192
crossing,0.438563450305
standing_tackle,0.372181205821
stamina,0.330956758185
vision,0.316733901151
jumping,0.308675890012
sprint_speed,0.295367353497
interceptions,0.28198071359
agility,0.269286744659
aggression,0.222983516223
sliding_tackle,0.215420123704
positioning,0.207048843593
volleys,0.203344876659
long_passing,0.19136514159
dribbling,0.190357862102
finishing,0.188645036051
strength,0.173986914875
shot_power,0.165218949194
heading_accuracy,0.152818107464
balance,0.149621185471
acceleration,0.143471109535
curve,0.10463011673
reactions,0.0944081498106
free_kick_accuracy,0.0865427496926
short_passing,0.0843625863634
penalties,0.0840297826329
marking,0.0719875038937
ball_control,0.0684156549636
gk_positioning,0.0365207900071
gk_reflexes,0.0261008050281
gk_handling,0.0257031526336
gk_diving,0.0198067132439
gk_kicking,0.016702009399
