variable,col1
stamina,0.81148069157
sprint_speed,0.500764180796
aggression,0.428214877554
standing_tackle,0.376034230678
volleys,0.36914136843
penalties,0.357396421653
positioning,0.328801013952
sliding_tackle,0.328398430997
jumping,0.320124021719
marking,0.301188899188
strength,0.294489936022
curve,0.294083138897
finishing,0.293115150751
crossing,0.287268716519
acceleration,0.284117457952
interceptions,0.281586139261
long_shots,0.265302777022
heading_accuracy,0.261610419896
agility,0.222537906677
free_kick_accuracy,0.206460100472
vision,0.150405288519
balance,0.143496394789
gk_positioning,0.1249974598
reactions,0.119600905148
gk_diving,0.107795849826
shot_power,0.096732821227
short_passing,0.0897202458236
dribbling,0.0803650857804
gk_kicking,0.0655694855174
gk_handling,0.0651924674255
long_passing,0.0550589705458
ball_control,0.049899234718
gk_reflexes,0.0390499108741
