variable,col1
short_passing,0.26706801699
shot_power,0.262828656042
sprint_speed,0.256622483014
acceleration,0.217026505888
positioning,0.205276136689
stamina,0.191801964597
crossing,0.186979318993
aggression,0.184459266947
long_shots,0.183477933011
vision,0.16844293539
strength,0.151208537694
jumping,0.139046477794
interceptions,0.134602664094
agility,0.134138273478
free_kick_accuracy,0.131551816054
marking,0.119881152407
finishing,0.118214299321
penalties,0.105845873258
sliding_tackle,0.104272514475
volleys,0.100674119381
long_passing,0.0992266470847
ball_control,0.0955540191118
reactions,0.0845075971756
curve,0.0812513236045
heading_accuracy,0.0803277849701
dribbling,0.0643610843904
standing_tackle,0.0588375881817
gk_diving,0.0183639946232
gk_handling,0.0153321513368
balance,0.0131182363858
gk_positioning,0.0125654433733
gk_kicking,0.0108241835141
gk_reflexes,0.00231100072943
