variable,col1
aggression,0.655316271809
shot_power,0.627047621014
interceptions,0.620455601688
stamina,0.618349181771
strength,0.590626222099
acceleration,0.551390669682
balance,0.488416733717
vision,0.452332686263
agility,0.450419523138
sprint_speed,0.44109352809
jumping,0.424836066023
penalties,0.42242475035
short_passing,0.418738827135
finishing,0.381691951592
volleys,0.381004219633
curve,0.378121786088
heading_accuracy,0.376011522408
sliding_tackle,0.37392424262
ball_control,0.371536389246
crossing,0.349479393137
long_shots,0.348221339268
dribbling,0.320380088938
standing_tackle,0.319862389173
marking,0.308814469219
long_passing,0.28003038557
free_kick_accuracy,0.256660467987
positioning,0.228974234733
reactions,0.199450497558
gk_reflexes,0.147722602165
gk_diving,0.089754691578
gk_positioning,0.0502288230976
gk_kicking,0.0495836464128
gk_handling,0.0270991768006
