variable,col1
sprint_speed,0.53688120811
free_kick_accuracy,0.450337348356
crossing,0.447658402842
interceptions,0.447067680719
standing_tackle,0.427533408661
jumping,0.416714784322
positioning,0.315420424826
penalties,0.294715755013
aggression,0.286576345952
long_passing,0.284140735568
curve,0.27128988806
long_shots,0.258461259505
stamina,0.252305868145
sliding_tackle,0.237162999633
marking,0.204978232383
vision,0.195072489165
heading_accuracy,0.194782584158
reactions,0.192984847259
strength,0.176601178069
short_passing,0.175073839781
volleys,0.165236247809
dribbling,0.115746337648
ball_control,0.112776731558
agility,0.104010873718
finishing,0.102121181036
shot_power,0.0872794571948
gk_positioning,0.0495340078753
balance,0.0458685211416
gk_diving,0.0418833497934
gk_reflexes,0.0394734226234
acceleration,0.0330526371286
gk_kicking,0.0198497867909
gk_handling,0.0174081651522
