name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Ruben Ribeiro,70.0,61.0,66.0,57.0,70.0,65.0,72.0,79.0,56.0,65.0,71.0,77.0,73.0,75.0,71.0,78.0,70.0,67.0,73.0,60.0,72.0,67.0,52.0,71.0,63.0,71.0,41.0,51.0,43.0,14.0,13.0,8.0,16.0,6.0,mid
Paulo Vinicius,76.0,64.0,47.0,80.0,66.0,50.0,53.5,59.0,50.0,62.0,61.0,51.0,55.0,57.0,70.5,51.0,62.0,83.0,70.0,78.0,53.0,76.0,76.5,39.0,53.0,46.0,77.5,81.0,75.0,16.0,6.0,16.0,15.0,16.0,def
Tengarrinha,68.0,55.75,31.75,64.75,67.25,41.25,53.75,40.75,35.75,62.25,61.0,63.0,65.5,60.0,64.75,56.0,69.25,73.0,77.5,76.0,47.25,71.75,73.75,39.75,51.75,48.75,66.5,73.75,63.75,14.75,8.75,11.75,7.75,6.75,mid
Nuno Henrique,70.0,35.0,42.0,68.0,59.0,31.0,53.0,30.0,37.0,41.0,60.0,60.0,67.0,58.0,62.0,58.0,39.0,74.0,53.0,75.0,35.0,67.0,68.0,41.0,47.0,31.0,73.0,77.0,67.0,13.0,9.0,10.0,11.0,9.0,def
Leozinho,65.29,62.57,60.0,45.57,62.57,60.57,70.57,61.57,63.57,57.57,66.57,76.0,75.0,80.0,66.57,78.0,62.57,57.0,56.14,44.0,60.57,41.57,56.57,64.57,59.57,62.57,21.57,23.57,19.86,6.57,6.57,13.57,13.57,9.57,for
Samuel Inkoom,69.0,65.0,33.0,52.0,64.0,39.0,61.0,49.0,50.0,61.0,69.0,76.0,82.0,76.0,68.0,75.0,63.0,62.0,73.0,65.0,56.0,73.0,63.0,34.0,49.0,53.0,67.0,71.0,74.0,12.0,14.0,12.0,7.0,9.0,def
Luisinho,70.5,67.0,57.0,43.0,67.0,49.0,73.0,57.0,48.0,58.0,74.75,76.5,74.75,79.0,73.5,80.0,73.5,62.0,70.75,57.5,64.25,55.0,34.0,73.0,65.75,68.0,35.5,43.0,42.0,16.0,15.0,15.0,11.0,16.0,for
Michael Uchebo,66.57,63.43,63.43,67.43,60.43,57.43,65.43,34.43,21.43,56.43,64.43,68.71,75.86,62.0,67.43,38.0,74.43,67.0,79.71,85.57,53.43,77.43,31.43,66.43,59.43,62.43,23.43,33.43,27.43,9.43,12.43,5.43,8.43,11.43,for
Mika,69.0,9.0,13.0,10.0,29.0,14.0,19.0,18.0,12.0,25.0,20.0,37.0,32.0,32.0,60.0,35.0,17.0,54.0,39.0,75.0,19.0,31.0,22.0,12.0,32.0,14.0,13.0,10.0,9.0,71.0,67.0,68.0,69.0,73.0,gk
Renato Santos,66.0,64.0,66.0,51.0,61.0,58.0,69.0,50.0,47.0,52.0,67.0,75.0,77.0,68.0,62.0,76.0,66.0,40.0,65.0,60.0,58.0,41.0,26.0,65.0,59.0,59.0,22.0,32.0,29.0,10.0,10.0,15.0,12.0,8.0,for
