variable,col1
strength,0.307934862268
standing_tackle,0.274575636213
long_shots,0.258496764902
aggression,0.225761995612
jumping,0.214254855077
curve,0.211971067584
short_passing,0.202075109502
interceptions,0.201146858865
ball_control,0.200854301326
sliding_tackle,0.189616025435
shot_power,0.163778748954
finishing,0.156779495607
long_passing,0.148608677231
stamina,0.137117270776
positioning,0.131662964209
crossing,0.116777760945
free_kick_accuracy,0.0994151070534
vision,0.0923379116282
volleys,0.0857022144185
balance,0.079137205353
penalties,0.0747859260977
marking,0.0733871538352
heading_accuracy,0.0619526620258
dribbling,0.0564602195663
acceleration,0.0493094827947
reactions,0.0441971958107
sprint_speed,0.0401930955006
gk_kicking,0.0260978923168
agility,0.0239771484639
gk_reflexes,0.0203513118178
gk_diving,0.0146723006226
gk_positioning,0.0100855519081
gk_handling,0.00652522627854
