name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Joao Pereira,76.33,76.44,52.67,59.89,70.67,49.67,73.67,67.33,56.33,70.22,75.89,78.0,77.0,78.33,78.33,81.11,68.0,77.0,76.67,59.33,60.67,83.67,75.78,63.0,66.0,64.0,72.78,77.44,78.11,11.67,13.67,9.67,9.67,6.67,def
Alberto Aquilani,78.38,78.75,66.62,66.75,86.62,74.75,76.75,78.75,74.75,84.75,84.75,60.0,55.0,75.0,69.75,60.0,82.75,68.0,67.38,68.0,82.62,70.88,66.62,72.0,82.88,72.75,54.38,64.62,62.5,14.75,14.75,6.75,5.75,12.75,mid
Bryan Ruiz,78.5,76.25,71.75,78.75,81.5,80.75,84.75,79.75,73.75,70.75,84.75,68.0,69.0,79.62,78.5,72.5,75.75,56.0,71.0,59.5,71.75,32.75,48.75,78.5,81.5,70.75,44.75,56.75,47.75,8.75,6.75,11.75,6.75,5.75,for
Rui Patricio,80.75,15.25,15.25,14.5,31.0,19.0,21.25,13.75,18.25,30.0,23.5,50.0,53.0,56.0,78.75,54.0,38.0,79.0,45.0,76.0,14.5,39.0,22.0,16.0,19.75,32.0,16.0,16.0,14.5,83.75,80.0,82.0,79.0,80.0,gk
Adrien Silva,79.31,77.38,68.08,61.31,81.85,76.92,79.15,74.69,78.38,83.38,83.69,60.62,60.62,71.0,71.23,56.46,84.0,56.0,72.54,61.15,80.62,74.15,75.31,72.46,83.92,84.69,61.15,73.92,62.77,14.69,5.69,7.69,9.69,6.69,mid
Fredy Montero,77.36,72.55,77.55,75.09,78.09,80.45,80.73,85.55,75.09,67.73,85.09,76.27,74.27,87.0,75.91,84.0,79.09,78.0,75.55,57.45,82.18,57.91,39.55,77.09,82.27,76.55,28.55,38.09,26.55,9.55,7.55,8.55,9.55,13.55,for
Teofilo Gutierrez,78.8,72.3,81.9,76.2,70.2,73.2,78.6,66.3,62.3,64.3,82.5,73.9,74.4,75.8,78.0,73.6,77.6,80.0,68.0,75.9,71.8,83.3,24.3,83.1,73.2,71.9,21.4,25.3,23.5,13.3,12.3,10.3,5.3,12.3,for
Jefferson Nascimento,78.12,85.25,60.75,60.62,76.38,70.0,76.75,76.75,80.25,71.75,74.75,84.5,79.0,76.75,77.75,79.0,84.38,71.0,91.5,73.75,79.5,76.88,73.5,76.25,65.75,61.75,76.75,80.25,78.0,15.75,13.75,5.75,12.75,13.75,def
Sebastian Coates,71.6,21.8,22.4,73.6,41.4,59.4,41.8,25.4,22.6,34.4,54.4,50.0,66.2,31.0,71.4,41.0,62.4,34.4,73.0,80.6,26.4,76.6,71.8,32.4,37.4,41.4,73.2,78.2,79.2,15.4,12.4,14.4,15.4,12.4,def
Bruno Cesar,74.43,79.29,74.71,53.71,79.57,80.57,75.14,83.86,84.14,78.86,76.43,74.14,70.14,69.43,70.29,78.0,86.0,59.71,60.29,74.71,82.14,71.0,52.86,73.14,80.29,68.57,39.86,47.71,45.71,15.71,15.71,6.71,12.71,7.71,mid
Marvin Zeegelaar,67.0,68.78,57.67,50.33,66.22,44.33,75.67,62.22,51.56,52.89,72.67,76.33,79.22,66.67,65.33,52.11,66.78,67.33,69.44,76.11,59.11,67.56,52.67,65.78,57.11,52.56,59.89,62.33,61.22,11.56,14.56,11.56,10.56,9.56,for
Matias Ezequiel Schelotto,71.83,74.0,52.0,69.0,71.17,62.0,73.67,68.0,60.0,67.67,72.33,76.0,84.0,71.5,70.0,50.0,78.0,72.0,85.33,75.5,69.0,76.0,68.0,73.0,65.0,54.0,60.0,71.0,71.0,11.0,11.0,6.0,5.0,9.0,def
Paulo Oliveira,77.22,31.56,24.44,76.78,66.67,35.44,56.67,32.44,28.44,48.44,63.33,66.22,73.44,52.56,74.11,53.0,61.0,81.89,69.89,79.11,28.44,70.67,78.56,30.44,44.22,44.44,82.0,81.0,77.0,13.44,7.44,10.44,11.44,6.44,def
Andre Carrillo,78.3,76.5,70.7,68.5,73.2,71.5,83.1,80.5,51.5,62.5,79.0,88.6,91.0,86.0,77.8,79.4,79.3,72.8,76.0,67.7,75.8,49.3,24.5,76.3,73.7,67.0,22.0,28.5,24.5,10.5,13.5,12.5,11.5,6.5,mid
William Carvalho,79.88,63.0,52.75,75.25,79.5,61.0,77.0,65.5,44.5,76.5,77.0,53.0,64.0,49.0,76.0,46.0,69.0,70.0,84.62,88.0,63.0,82.75,85.25,65.5,67.5,61.0,80.62,85.25,77.25,6.0,6.0,5.0,14.0,14.0,mid
Naldo,72.5,29.62,28.62,69.38,55.88,23.62,36.62,45.62,40.62,53.12,51.38,55.0,56.0,50.0,66.12,40.0,59.62,63.0,54.0,82.0,40.62,73.62,75.25,25.62,32.62,42.62,75.12,78.88,73.88,11.62,4.62,6.62,5.62,7.62,def
Ewerton,73.4,47.4,29.4,72.3,64.6,48.4,55.6,36.4,39.4,51.4,62.3,67.7,65.1,53.4,72.8,67.7,47.9,77.6,68.4,77.6,27.8,72.3,75.6,29.4,59.4,46.4,73.4,77.0,74.8,6.4,8.4,6.4,12.4,13.4,def
Islam Slimani,77.36,48.64,75.82,90.0,68.09,78.55,67.27,65.45,47.91,49.64,70.09,67.73,72.91,64.64,78.09,57.0,81.45,86.82,88.0,85.0,65.55,84.55,45.82,85.55,69.55,72.45,25.09,37.73,21.73,9.55,8.55,5.55,14.55,10.55,for
Joao Mario,77.75,73.25,69.25,53.75,82.75,65.25,79.75,68.38,67.0,75.75,81.38,71.5,74.75,75.75,77.25,67.0,76.75,63.0,78.5,69.25,70.88,62.75,74.38,77.5,77.25,58.75,63.75,73.25,62.25,5.75,14.75,7.75,7.75,7.75,mid
Ricardo Esgaio,69.38,64.62,57.62,57.62,66.62,64.62,79.25,62.62,50.62,60.12,76.12,68.0,73.0,77.75,69.88,83.0,64.5,62.0,73.0,56.0,62.62,65.62,69.38,70.62,62.12,82.62,67.88,70.5,70.5,8.62,15.62,5.62,7.62,13.62,def
Jonathan Cristian Silva,73.12,72.38,41.0,60.0,66.75,47.75,73.25,60.75,62.5,59.75,71.25,78.88,82.0,74.25,71.62,77.0,78.75,69.88,85.38,58.0,75.5,78.75,69.75,68.75,59.75,39.75,70.0,74.88,74.0,14.75,5.75,8.75,12.75,9.75,def
Tobias Figueiredo,72.43,28.0,21.5,73.5,55.79,21.5,51.07,23.5,28.5,57.64,57.21,56.29,65.64,44.86,68.14,51.43,67.5,85.71,61.0,79.79,20.5,84.5,70.71,24.5,39.0,35.5,71.57,74.71,71.0,11.5,8.5,11.5,6.5,10.5,def
Ruben Semedo,71.0,38.0,43.0,73.0,64.0,51.0,60.0,22.0,26.0,60.0,60.0,51.0,68.0,53.0,64.0,55.0,72.0,86.0,76.0,86.0,58.0,79.0,68.0,53.5,51.0,38.0,68.0,72.0,62.0,10.0,14.0,13.0,7.0,15.0,def
