name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Lica,72.62,73.0,71.5,58.75,72.0,63.75,67.75,72.75,65.75,76.75,75.38,76.0,68.0,74.5,70.0,74.62,68.0,67.25,69.75,54.75,72.62,67.88,59.75,28.75,46.75,35.25,mid
Bakary Sare,74.36,48.55,52.18,68.64,74.18,52.73,33.64,34.64,70.73,72.0,71.82,64.0,64.0,71.64,80.64,84.0,75.0,62.73,87.27,75.82,54.91,63.91,32.64,72.45,75.27,72.09,mid
Oriol Rosell,69.75,49.0,45.75,59.25,76.25,51.75,51.75,37.25,71.25,56.0,59.0,59.0,57.0,65.25,73.0,65.25,73.0,58.75,69.25,75.25,52.75,60.0,48.25,62.25,64.25,63.25,mid
Santiago Montoya,74.86,64.29,65.57,51.0,73.71,61.0,65.86,64.0,70.14,83.86,85.86,85.43,84.14,73.57,56.0,58.0,37.0,67.57,58.0,49.71,65.57,72.57,67.0,42.86,47.43,39.0,mid
Cafu,67.38,49.62,64.15,62.62,70.38,59.15,48.62,45.92,65.08,66.0,64.0,55.0,64.0,77.69,59.0,76.0,81.77,69.77,77.85,59.85,60.62,61.62,51.62,59.08,66.31,60.77,mid
Bruno Alves,62.29,44.43,48.29,56.43,67.57,51.43,47.43,45.14,63.43,65.0,63.29,60.0,69.0,63.43,61.0,67.0,58.0,53.14,60.86,52.57,61.57,61.71,45.43,50.43,56.43,49.43,mid
Luis Rocha,64.67,70.0,53.67,50.67,70.67,45.67,72.67,67.67,68.67,72.0,74.0,65.0,68.0,73.67,62.0,71.0,64.0,51.0,65.33,64.0,64.0,57.67,46.67,56.67,66.0,59.67,mid
Tyler Boyd,63.4,56.6,62.4,43.6,53.2,42.6,57.6,29.6,34.6,88.8,83.8,85.2,77.0,55.6,59.0,77.0,53.6,47.6,29.6,17.2,63.6,53.6,50.6,22.0,18.4,17.2,mid
Otavio,70.75,62.67,66.08,56.0,73.92,51.67,54.67,34.67,66.83,75.58,77.17,80.17,82.67,66.67,57.0,64.0,36.5,62.0,48.75,25.25,69.75,72.0,64.17,24.67,24.75,21.0,mid
Toze,73.17,76.75,64.08,47.58,75.33,63.58,79.33,79.5,74.0,76.83,74.0,89.0,86.0,75.58,58.0,66.0,50.0,74.75,68.33,50.58,65.33,71.25,80.42,44.58,45.58,54.58,mid
Joao Teixeira,67.5,45.75,52.25,49.25,72.25,45.25,53.25,39.75,68.5,66.75,66.0,65.0,71.0,64.75,62.0,75.5,62.75,63.5,67.5,64.75,64.25,68.25,56.25,55.25,63.25,59.25,mid
Dalbert,66.86,67.0,48.0,46.29,66.71,46.0,65.43,47.0,56.29,76.57,80.29,68.71,64.0,65.14,56.0,70.0,62.0,45.0,66.0,63.71,68.0,58.0,42.0,65.29,69.29,67.57,mid
Alexandre Silva,64.75,54.0,66.25,51.0,64.0,57.0,68.0,33.0,48.0,84.0,83.0,72.0,68.0,67.0,54.0,68.0,58.75,53.0,46.0,20.0,65.75,65.0,45.0,18.0,22.0,19.0,mid
Thibang Phete,62.33,39.33,50.0,45.0,65.67,46.67,56.0,40.0,57.33,64.0,67.0,60.0,54.0,68.0,60.0,68.0,66.67,45.33,63.0,58.67,60.0,55.67,46.0,57.33,59.33,60.0,mid
