variable,col1
free_kick_accuracy,0.419813857993
balance,0.323938458837
jumping,0.29029713556
sprint_speed,0.283672954617
curve,0.281841845424
penalties,0.255416816871
agility,0.246418699358
stamina,0.241325268303
finishing,0.207416525096
strength,0.186086316166
standing_tackle,0.180796555604
acceleration,0.178163097347
marking,0.175814870258
crossing,0.159402806715
reactions,0.152868788356
sliding_tackle,0.150246026664
heading_accuracy,0.148131153583
positioning,0.139844108621
interceptions,0.138260400463
aggression,0.118884563272
long_passing,0.117481831095
long_shots,0.1052489892
dribbling,0.0973790680463
volleys,0.0827623604639
shot_power,0.0596014218408
gk_kicking,0.0537354715193
vision,0.0464285708832
ball_control,0.043931910984
gk_reflexes,0.0419396522275
gk_positioning,0.0326826993706
short_passing,0.0238266968445
gk_handling,0.0127196104985
gk_diving,0.00362146791925
