variable,col1
aggression,0.698209601877
volleys,0.569751800901
free_kick_accuracy,0.473953925565
heading_accuracy,0.432213383326
long_shots,0.381612448488
positioning,0.375353017218
crossing,0.369786122131
stamina,0.357521968679
marking,0.351357333461
agility,0.340981501784
strength,0.324932465561
curve,0.312341952661
vision,0.306614448986
shot_power,0.305600467609
balance,0.287178327252
reactions,0.281181027822
standing_tackle,0.268927657767
sliding_tackle,0.266219148955
dribbling,0.257473042913
acceleration,0.250699540161
finishing,0.247635025534
long_passing,0.224813649734
interceptions,0.222173541842
penalties,0.207970363636
sprint_speed,0.177408472676
ball_control,0.176378170882
jumping,0.176131731454
short_passing,0.0942011553892
gk_handling,0.0754474412912
gk_kicking,0.0670085388744
gk_positioning,0.0629934792059
gk_diving,0.0350359894833
gk_reflexes,0.0208932568794
