name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Paul Dixon,66.0,71.2,35.2,62.2,63.2,46.2,64.4,73.2,66.2,61.6,67.2,72.0,74.0,74.0,58.6,76.0,65.2,80.6,80.0,64.8,62.2,71.2,61.2,52.2,49.2,45.2,63.2,64.6,63.8,14.2,12.2,13.2,5.2,13.2,mid
Eiji Kawashima,69.0,17.0,14.0,14.0,33.0,13.0,12.0,13.0,14.0,33.0,28.0,44.0,40.0,70.0,71.0,46.0,37.0,71.0,30.0,68.0,19.0,16.0,19.0,11.0,29.0,24.0,11.0,12.0,11.0,73.0,62.0,69.0,66.0,75.0,gk
Sean Dillon,60.8,61.4,26.4,60.4,57.4,19.8,60.4,62.4,38.4,56.4,63.4,69.8,66.0,74.0,56.4,69.0,56.4,67.4,72.0,70.4,48.4,60.4,57.4,28.4,42.4,42.4,61.6,62.2,55.6,8.4,14.4,15.4,7.4,10.4,mid
Edward Ofere,66.33,53.0,63.0,75.33,57.0,56.0,59.33,47.0,44.0,40.0,61.33,48.0,71.0,58.0,67.0,42.33,77.0,63.0,66.0,88.0,50.0,69.0,19.0,72.0,55.33,58.0,35.0,46.0,40.0,14.0,12.0,13.0,6.0,7.0,for
Guy Demel,70.0,69.0,22.0,67.0,64.0,55.0,72.0,52.0,42.0,66.0,69.0,55.0,63.0,41.0,64.0,56.0,74.0,62.0,58.0,84.0,48.0,76.0,73.0,56.0,59.0,55.0,77.0,80.0,78.0,7.0,13.0,16.0,8.0,7.0,mid
John Rankin,62.5,63.5,44.5,64.5,63.5,65.5,61.5,54.5,63.5,61.5,62.5,74.0,74.0,72.0,60.5,75.0,72.5,90.0,84.0,70.0,70.5,67.5,58.5,55.5,58.5,47.5,52.5,62.5,56.5,5.5,5.5,6.5,5.5,13.5,mid
Paul Paton,62.33,45.67,25.67,61.67,63.33,28.67,50.67,52.67,57.67,66.67,59.67,53.0,52.0,50.0,53.67,67.0,71.67,64.0,72.0,71.0,50.67,71.67,60.67,39.67,55.33,41.67,58.0,62.67,60.67,9.67,13.67,14.67,11.67,7.67,mid
Florent Sinama-Pongolle,68.0,64.0,70.0,68.0,62.0,65.0,64.0,63.0,55.0,51.0,66.0,74.0,74.0,73.0,64.0,72.0,70.0,60.0,65.0,65.0,64.0,53.0,30.0,72.0,62.0,70.0,20.0,23.0,21.0,12.0,13.0,7.0,8.0,7.0,for
Riku Riski,66.86,64.43,67.0,60.43,67.43,63.43,67.29,62.43,55.43,61.43,66.43,84.0,80.0,90.0,52.43,80.0,68.43,75.43,68.0,54.29,62.43,43.0,47.57,64.43,60.43,67.43,40.43,42.43,41.43,11.43,8.43,11.43,9.43,14.43,for
Ryan McGowan,67.17,58.17,49.83,72.17,60.17,53.17,60.83,51.17,54.17,57.17,62.17,64.0,68.67,57.0,59.17,61.0,57.17,45.0,79.5,75.0,41.17,79.17,65.17,42.17,44.17,57.17,67.67,69.5,66.67,11.17,10.17,11.17,11.17,12.17,mid
Henri Anier,63.8,30.0,65.2,61.0,47.0,54.0,63.6,38.0,30.0,32.0,63.4,75.8,74.4,74.0,50.0,61.0,74.0,61.0,59.0,72.0,62.0,30.0,36.0,63.6,58.0,66.0,13.0,16.0,13.0,15.0,11.0,15.0,11.0,6.0,for
Gavin Gunning,65.0,59.0,39.0,69.0,51.0,33.0,55.0,50.0,56.0,49.0,55.0,68.0,80.0,70.0,54.0,62.0,71.0,79.0,68.0,77.0,54.0,79.0,55.0,44.0,53.0,44.0,63.0,64.0,61.0,13.0,15.0,13.0,12.0,9.0,def
