variable,col1
gk_reflexes,0.466626351161
stamina,0.325286683078
gk_handling,0.268255609481
agility,0.214305955422
gk_diving,0.185850717529
reactions,0.163964261677
gk_positioning,0.156991745687
jumping,0.118301685087
long_passing,0.0950725794835
sprint_speed,0.0941624825988
strength,0.0858547220549
shot_power,0.069603990535
acceleration,0.0689622503417
gk_kicking,0.0670120988633
vision,0.0629613735386
crossing,0.0459788812944
short_passing,0.0457284598706
finishing,0.0447090685185
curve,0.0423077425036
aggression,0.0414018766332
standing_tackle,0.0371636013715
interceptions,0.0358427744707
marking,0.0355320197956
balance,0.0335620255434
dribbling,0.0290417846021
positioning,0.0257065638073
sliding_tackle,0.0257065638073
free_kick_accuracy,0.0237005488856
heading_accuracy,0.0216954586654
ball_control,0.0216776831853
long_shots,0.0201902213986
volleys,0.0180576157267
penalties,0.00878460338129
