variable,col1
finishing,0.766235657456
jumping,0.756075838494
balance,0.696351230213
free_kick_accuracy,0.682036290016
aggression,0.646943188879
volleys,0.62116087829
curve,0.614535755941
heading_accuracy,0.613299246662
strength,0.597814542692
interceptions,0.524373153026
shot_power,0.52249710339
sprint_speed,0.505820784923
crossing,0.502765009418
dribbling,0.501229201744
long_shots,0.498877399099
standing_tackle,0.464682035272
stamina,0.42549322701
agility,0.400776685851
vision,0.395875224789
sliding_tackle,0.384612024862
positioning,0.372287978997
long_passing,0.346510681202
penalties,0.341205980794
marking,0.317676950509
reactions,0.252603331696
acceleration,0.213087129015
gk_diving,0.209782292256
short_passing,0.201918421688
ball_control,0.198718509837
gk_kicking,0.12878135549
gk_handling,0.11160319466
gk_reflexes,0.0985784113897
gk_positioning,0.0857912844397
