name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Martin Canning,62.0,43.5,18.5,63.5,51.5,19.0,23.5,26.5,32.5,37.5,51.5,53.5,54.0,57.5,60.5,55.0,34.5,79.5,72.0,76.0,39.5,70.5,58.5,21.5,41.5,18.5,61.5,61.5,56.5,12.5,8.5,10.5,10.5,6.5,def
Chris Turner,60.0,60.0,52.0,58.0,60.0,39.0,55.0,58.0,60.0,58.0,60.0,71.0,72.0,72.0,58.0,65.0,66.0,66.0,84.0,74.0,63.0,75.0,61.0,57.0,59.0,55.0,58.0,60.0,60.0,15.0,13.0,13.0,6.0,6.0,mid
Dougie Imrie,61.6,56.6,57.6,37.6,56.6,53.6,61.6,54.6,42.6,46.6,60.6,80.4,73.0,90.0,60.6,81.0,61.6,67.6,72.0,61.0,56.6,71.6,31.6,59.2,58.6,66.6,20.8,23.6,19.0,7.6,10.6,15.6,11.6,5.6,mid
Christian Nade,63.0,57.0,63.0,70.0,57.0,68.0,65.0,62.0,23.0,45.0,62.0,45.0,49.0,53.0,57.0,63.0,75.0,66.0,57.0,78.0,65.0,60.0,12.0,60.0,45.0,62.0,12.0,10.0,13.0,13.0,9.0,12.0,8.0,14.0,for
Alexandre D'Acol,64.0,42.0,68.0,64.0,61.0,59.0,66.0,63.0,61.0,56.0,69.0,58.0,68.0,60.0,56.0,66.0,64.0,65.0,61.0,65.0,57.0,45.0,26.0,64.0,61.0,71.0,28.0,22.0,22.0,9.0,12.0,6.0,10.0,10.0,for
Michael McGovern,64.4,16.6,17.2,22.0,17.8,19.0,16.0,16.6,17.8,21.6,19.0,32.0,34.0,48.0,56.6,47.0,29.6,52.0,33.0,49.0,17.8,20.8,22.6,19.6,22.4,18.4,15.4,20.2,17.2,64.8,64.4,62.6,65.2,67.2,gk
Grant Gillespie,59.67,65.5,25.83,37.5,64.5,25.5,60.17,49.5,43.5,59.5,57.5,66.0,66.0,70.5,50.0,60.5,27.83,59.0,77.33,64.0,34.5,76.17,52.5,51.5,49.5,41.5,58.5,60.0,58.5,8.5,13.5,5.5,8.5,6.5,mid
Antons Kurakins,58.0,50.0,25.0,40.0,27.0,22.0,60.0,30.0,60.0,27.0,48.0,71.0,65.0,56.0,55.0,63.0,50.0,70.0,70.0,59.0,30.0,50.0,52.0,38.0,50.0,42.0,62.0,69.0,70.0,12.0,6.0,8.0,12.0,8.0,mid
Alistair Crawford,61.0,60.22,62.44,51.22,59.33,38.11,63.22,38.56,42.0,54.44,60.22,70.44,72.0,61.44,56.56,64.11,59.33,70.89,76.67,71.0,48.44,57.22,51.33,61.0,53.33,47.44,54.11,48.67,46.78,10.22,14.22,14.22,10.22,10.22,mid
Michael Devlin,57.33,27.33,22.33,55.33,39.67,23.33,33.33,23.33,29.33,35.33,33.67,54.0,54.0,41.0,45.33,51.0,40.33,72.0,65.67,72.33,23.33,65.33,55.33,24.33,33.33,36.33,57.0,60.0,57.0,11.33,12.33,12.33,6.33,12.33,def
Ziggy Gordon,63.0,58.5,30.5,52.5,50.5,24.5,60.5,28.5,31.5,40.5,59.5,77.0,79.0,63.0,57.5,50.5,40.5,63.5,74.0,57.5,23.5,75.5,58.5,45.5,38.5,41.5,62.0,65.5,64.0,5.5,10.5,14.5,9.5,8.5,def
Lewis Longridge,62.0,53.0,59.0,37.0,58.0,45.0,63.0,44.0,37.0,55.0,66.0,85.0,82.0,70.0,49.0,71.0,65.0,58.0,62.0,39.0,41.0,36.0,20.0,59.0,56.0,56.0,23.0,26.0,25.0,8.0,6.0,15.0,6.0,16.0,mid
Darian MacKinnon,55.67,46.33,52.33,52.33,63.33,45.33,57.33,38.33,34.33,55.33,58.33,61.0,60.0,53.33,54.67,72.0,66.33,61.33,80.0,75.0,45.33,82.0,45.67,55.33,41.0,60.33,49.33,56.33,53.33,5.0,9.0,7.0,5.67,8.33,mid
Garcia Tena,58.4,31.2,24.4,52.4,40.0,22.4,30.4,26.2,45.4,36.4,33.4,65.0,65.6,49.0,49.2,59.0,44.8,71.0,59.6,64.6,25.4,70.8,58.4,29.4,32.4,37.0,59.2,63.2,62.2,7.4,8.4,6.4,14.4,7.4,def
"Greg Docherty,17",52.2,30.6,52.0,56.6,42.6,40.6,54.8,37.6,28.6,32.6,52.0,63.0,58.2,70.0,54.6,59.0,49.6,63.6,56.0,43.0,47.8,30.0,21.2,51.0,48.0,64.6,28.2,29.0,28.2,10.6,15.6,7.6,11.6,12.6,for
Eamonn Brophy,56.0,32.0,61.0,54.0,50.0,47.0,52.0,51.0,41.0,40.0,51.0,70.0,70.0,72.0,51.0,63.0,55.0,71.0,63.0,57.0,46.0,31.0,16.0,55.0,62.0,62.0,20.0,13.0,15.0,14.0,7.0,13.0,15.0,10.0,for
Darren Lyon,50.6,46.2,44.2,37.2,49.2,45.2,53.2,45.2,34.2,47.6,57.2,66.0,69.2,58.0,41.2,68.0,52.2,48.2,49.0,51.4,39.2,32.2,23.2,49.2,46.2,56.4,47.2,44.2,42.2,6.2,13.2,12.2,9.2,7.2,mid
