variable,col1
jumping,0.511321336227
long_shots,0.434664252413
positioning,0.35595424117
shot_power,0.326161172028
strength,0.30090052515
finishing,0.295277770426
stamina,0.292422262594
sprint_speed,0.285592375632
heading_accuracy,0.262536483294
crossing,0.231986294745
free_kick_accuracy,0.22110452302
agility,0.207483120499
acceleration,0.20141590356
interceptions,0.200269922554
long_passing,0.167982036336
aggression,0.161272480714
short_passing,0.160813344202
penalties,0.14746844034
vision,0.145856096304
dribbling,0.136970734586
balance,0.129665507355
volleys,0.122026789551
gk_positioning,0.0987946628916
gk_kicking,0.0970632294352
ball_control,0.0966255616204
reactions,0.0885686923397
gk_reflexes,0.0762207549362
curve,0.0656640695896
gk_diving,0.0637475065425
marking,0.050167608051
sliding_tackle,0.03385098656
standing_tackle,0.0198887852869
gk_handling,0.0102625300456
