variable,col1
volleys,0.653534472141
heading_accuracy,0.535595944626
finishing,0.481072938445
crossing,0.437613736653
jumping,0.414727279285
balance,0.376020932158
sprint_speed,0.353198644563
shot_power,0.340846554857
interceptions,0.332167859285
positioning,0.320605219851
free_kick_accuracy,0.317332560939
dribbling,0.316532307415
aggression,0.301511504834
long_shots,0.29937541562
vision,0.281477338128
standing_tackle,0.274200036315
penalties,0.273705561925
short_passing,0.247638568175
stamina,0.243130844947
marking,0.21919952775
curve,0.216812360852
gk_positioning,0.205749816964
agility,0.201216155603
sliding_tackle,0.188609726061
gk_handling,0.185757609739
acceleration,0.161978259626
long_passing,0.157611610077
strength,0.151554949539
ball_control,0.148849095642
gk_kicking,0.136978171423
gk_reflexes,0.106930939769
reactions,0.0778476178639
gk_diving,0.040616438931
