variable,col1
jumping,0.488594223416
free_kick_accuracy,0.482473697765
agility,0.427699141894
penalties,0.423403792097
shot_power,0.420623619892
long_passing,0.412436148683
strength,0.395040818148
curve,0.389264431183
positioning,0.379596276338
interceptions,0.357983732829
crossing,0.348582441514
vision,0.342457068999
short_passing,0.334350631521
stamina,0.310900623215
balance,0.30745919826
reactions,0.306791300717
long_shots,0.285035678185
dribbling,0.28426419526
volleys,0.274322980537
finishing,0.263843800579
aggression,0.260614666856
marking,0.245022568771
heading_accuracy,0.222199319629
sliding_tackle,0.19799579349
sprint_speed,0.153975664642
acceleration,0.149088031076
ball_control,0.148425386095
standing_tackle,0.119379857365
gk_handling,0.0764042992419
gk_positioning,0.0748448380344
gk_diving,0.0458126559469
gk_kicking,0.0383084198632
gk_reflexes,0.0328046979569
