name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Lee McCulloch,63.29,56.29,62.29,68.29,63.29,54.29,44.29,51.29,43.29,58.29,55.86,50.86,54.14,58.0,61.29,41.14,68.29,66.0,63.0,82.57,61.29,86.29,62.29,60.29,64.29,70.29,55.86,56.86,52.86,7.29,11.29,8.29,15.29,10.29,mid
Steven Smith,60.67,62.67,56.67,57.67,61.67,58.67,61.67,67.67,67.67,56.67,58.67,63.0,62.0,57.0,63.67,55.0,61.67,61.0,62.0,62.0,53.67,82.67,61.67,60.67,65.67,52.67,61.67,59.0,56.67,15.67,9.67,12.67,13.67,8.67,mid
Gary Dicker,63.0,54.5,35.5,56.5,69.5,51.5,53.5,44.5,55.5,66.5,65.5,69.0,59.5,67.0,66.5,61.0,57.5,72.0,74.0,72.0,46.5,58.5,54.5,56.5,65.5,38.5,37.5,59.5,58.5,13.5,13.5,5.5,14.5,10.5,mid
Kallum Higginbotham,67.5,66.5,64.5,46.5,66.5,54.5,71.5,55.5,62.5,52.5,70.5,73.0,78.0,73.0,52.5,71.0,62.5,34.0,80.0,54.5,60.5,62.5,31.5,63.5,72.5,55.5,19.0,19.0,19.5,15.5,14.5,8.5,10.5,13.5,mid
Scott Robinson,61.0,52.0,54.0,35.0,69.0,49.0,62.0,57.0,43.0,58.0,65.0,81.0,80.0,81.0,63.0,83.0,57.0,83.0,71.0,70.0,50.0,61.0,55.0,59.0,57.0,51.0,45.0,51.0,43.0,14.0,15.0,9.0,6.0,10.0,mid
Lee Ashcroft,62.0,30.5,22.0,66.5,40.5,26.5,35.5,31.5,30.5,35.5,40.5,66.0,68.0,65.5,60.5,70.0,45.5,72.0,70.0,68.5,24.5,52.5,61.5,30.5,33.5,42.5,67.5,65.5,61.5,11.5,7.5,6.5,14.5,6.5,mid
Christopher Johnston,64.0,65.33,56.33,52.33,55.33,50.33,72.33,47.33,43.33,45.33,70.33,87.0,83.33,80.67,47.33,88.0,51.33,61.0,61.67,56.33,59.33,51.33,21.33,55.33,61.33,55.33,23.33,25.33,23.33,13.33,10.33,10.33,7.33,10.33,mid
Mark O'Hara,59.0,47.5,23.5,62.5,55.5,23.5,47.5,47.5,42.5,44.5,56.5,66.0,70.0,51.0,61.5,64.0,32.5,61.0,71.0,71.0,22.5,48.5,59.5,21.5,27.5,30.5,55.5,58.5,57.5,13.5,9.5,9.5,14.5,6.5,mid
Craig Slater,60.8,49.4,32.4,50.4,67.4,40.4,63.8,56.4,62.4,61.4,66.6,71.0,74.0,72.0,65.4,63.0,56.6,57.0,66.6,48.2,60.4,62.4,54.4,48.4,66.4,44.4,53.4,59.4,55.4,8.4,13.4,11.4,5.4,12.4,mid
Alex Henshall,58.5,60.5,56.0,25.0,49.0,30.0,62.33,42.0,39.0,42.0,60.67,84.17,85.67,77.17,48.0,71.33,59.0,45.0,64.33,46.0,27.0,29.0,39.0,51.67,50.0,57.0,17.0,34.0,24.0,6.0,6.0,10.0,16.0,9.0,mid
Greg Kiltie,56.0,51.0,46.0,46.0,61.0,49.0,55.0,47.0,45.0,59.0,57.0,65.0,66.0,60.0,54.0,63.0,56.0,52.0,57.0,56.0,50.0,55.0,40.0,51.0,55.0,57.0,50.0,51.0,51.0,10.0,13.0,7.0,11.0,6.0,mid
Aaron Splaine,54.25,54.25,51.25,42.25,54.25,41.25,52.25,44.25,42.25,51.25,51.25,65.0,66.0,63.0,52.25,60.5,53.25,52.0,55.75,39.25,51.25,48.25,29.25,51.25,54.25,54.25,42.25,46.25,44.25,10.25,12.25,7.25,13.25,8.25,mid
