variable,col1
jumping,0.716323379452
heading_accuracy,0.705187560957
strength,0.629386486975
long_shots,0.541184308847
balance,0.518752898719
vision,0.504186145507
stamina,0.497141902838
marking,0.490452001826
interceptions,0.481702106292
finishing,0.461980291236
volleys,0.439966156662
free_kick_accuracy,0.426644883171
penalties,0.404830203639
aggression,0.402163590484
long_passing,0.392454910548
agility,0.362954993706
sprint_speed,0.349331144101
short_passing,0.340070986734
curve,0.338647229878
positioning,0.338061289705
crossing,0.33804558776
ball_control,0.309476520507
shot_power,0.277089109071
standing_tackle,0.276979920117
acceleration,0.274923182721
dribbling,0.268780327113
sliding_tackle,0.254882200768
gk_diving,0.150756152557
reactions,0.147161267235
gk_handling,0.123196037741
gk_positioning,0.103757433195
gk_kicking,0.0743443231326
gk_reflexes,0.0591854668077
