variable,col1
jumping,0.578446228665
free_kick_accuracy,0.474288526066
shot_power,0.408331061925
agility,0.312726366855
balance,0.300177144193
acceleration,0.236395055189
sprint_speed,0.216712674179
heading_accuracy,0.212996212888
curve,0.20746604711
strength,0.191767251731
penalties,0.187874674605
dribbling,0.18641345794
vision,0.170316707982
crossing,0.164217586352
marking,0.154418972811
standing_tackle,0.119820564351
ball_control,0.092452111158
long_shots,0.0920999654928
aggression,0.0868073861599
positioning,0.0853610191413
interceptions,0.0837385317549
reactions,0.0763429928408
volleys,0.062096799127
sliding_tackle,0.0605338811297
gk_kicking,0.0457938889301
gk_positioning,0.0424128391592
long_passing,0.0383377449325
stamina,0.0302587704584
finishing,0.0236637262378
short_passing,0.0223411338866
gk_handling,0.0146223374106
gk_reflexes,0.0117284189911
gk_diving,0.00903992034792
