name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Martin Woods,64.8,60.8,58.4,53.8,65.8,59.8,61.8,66.0,64.8,73.6,75.4,72.8,78.0,65.2,83.8,71.8,68.2,66.6,60.8,61.8,62.8,67.8,40.6,43.8,53.8,51.8,mid
Richard Foster,60.8,55.6,17.8,65.2,61.6,20.8,52.6,47.6,52.6,79.6,81.0,79.4,76.0,48.6,78.8,80.6,62.0,21.4,54.6,54.0,21.4,54.6,28.6,55.4,56.8,53.4,mid
Michael Gardyne,60.67,53.33,55.33,54.33,53.33,53.33,57.33,58.33,50.33,80.0,81.0,90.0,80.0,57.33,80.33,72.0,45.17,54.33,52.33,40.33,53.33,55.33,66.33,42.33,43.33,41.33,mid
Rocco Quinn,60.0,54.0,54.0,43.0,63.0,53.0,52.0,43.0,57.0,61.0,64.0,60.0,58.0,65.0,55.0,71.0,71.0,62.0,54.0,52.0,55.0,59.0,63.0,53.5,56.0,52.0,mid
Stewart Murdoch,55.67,59.67,37.67,53.67,61.67,28.67,47.67,52.67,54.67,65.0,69.0,68.67,64.0,36.67,60.0,69.33,49.0,39.67,29.67,43.67,58.67,48.67,52.67,20.67,52.67,30.67,mid
Raffaele De Vita,63.0,60.0,60.0,58.67,63.0,52.67,61.67,64.67,55.67,70.0,75.33,81.0,64.0,64.33,60.0,68.0,59.0,55.67,49.67,42.67,61.0,58.67,57.67,37.33,40.0,37.67,mid
Jonathan Franks,57.0,55.33,55.33,53.33,55.33,62.33,29.33,54.33,30.33,74.0,72.0,76.0,77.0,60.33,72.0,72.0,56.0,56.33,25.33,43.33,59.33,54.33,63.33,20.33,41.33,37.33,mid
Ian McShane,63.0,54.0,51.0,54.0,67.0,56.0,58.0,67.0,62.0,75.0,72.0,74.0,76.0,65.0,72.0,74.0,62.0,62.0,57.0,53.0,55.0,66.0,43.0,44.0,55.0,47.0,mid
Jackson Irvine,60.5,48.5,37.5,50.5,66.5,44.5,43.5,44.5,53.5,62.0,63.0,57.0,67.0,62.5,61.0,62.0,58.5,54.5,57.5,55.5,52.5,65.5,49.5,43.5,55.5,50.5,mid
Tony Dingwall,56.75,54.38,55.88,48.12,62.5,30.5,41.5,41.5,58.88,71.5,74.0,75.75,70.0,55.0,67.0,67.5,60.5,45.38,55.5,51.0,49.5,50.75,47.5,49.5,50.38,45.62,mid
