id,name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
14100,Alan Mannus,66.8,15.4,13.8,13.8,13.8,16.2,15.4,16.2,17.8,29.8,22.6,32.0,50.0,41.0,57.8,61.0,23.8,56.0,30.0,64.0,14.6,33.8,18.6,20.2,21.0,18.6,15.4,21.0,15.4,69.0,66.8,62.8,66.8,70.4,gk
17528,Chris Millar,61.5,60.5,28.5,38.5,63.5,30.5,62.5,62.5,57.5,60.5,63.5,71.0,68.0,73.0,63.5,74.0,41.5,81.0,73.0,65.75,42.5,58.5,59.0,59.5,63.5,21.5,54.5,64.5,60.5,15.5,14.5,5.5,15.5,9.5,mid
23117,John Sutton,66.6,41.2,69.8,73.2,52.2,48.2,57.8,45.2,22.2,41.2,62.2,58.2,59.8,57.0,67.2,32.8,71.0,64.8,75.2,91.0,54.2,69.6,32.2,71.6,53.2,74.2,23.0,23.0,23.0,14.2,7.2,15.2,15.2,6.2,for
23151,Frazer Wright,65.0,49.0,25.0,71.0,57.0,51.0,42.0,51.0,41.0,59.0,55.0,33.0,34.0,58.0,62.0,61.0,43.0,77.0,64.0,77.0,35.0,67.0,62.0,43.0,37.0,32.0,62.0,64.0,62.0,11.0,15.0,12.0,10.0,6.0,def
28110,Daniel Swanson,64.75,62.5,59.0,51.5,67.75,58.5,66.0,63.5,67.5,63.5,63.5,72.0,78.0,81.5,58.5,89.0,65.5,82.0,51.0,57.0,60.5,75.5,59.5,64.0,62.5,68.5,53.5,51.5,53.5,13.5,8.5,6.5,9.5,10.5,mid
29049,Thomas Scobbie,62.5,58.5,18.5,62.5,57.5,18.5,62.5,51.5,19.0,54.5,61.5,52.5,55.0,48.0,63.5,53.5,21.5,63.0,58.0,60.0,19.0,62.5,65.5,22.0,54.5,18.0,65.5,64.5,63.5,14.5,15.5,8.5,14.5,14.5,def
32559,Liam Craig,68.0,65.0,62.0,62.0,70.0,53.0,68.0,67.0,72.0,65.0,71.0,74.0,73.0,58.0,69.0,63.0,69.0,62.0,71.0,81.0,67.0,56.0,53.0,64.0,68.0,73.0,63.0,67.0,64.0,7.0,13.0,8.0,7.0,14.0,mid
32725,David Mackay,64.6,68.8,49.8,71.2,62.8,16.2,60.8,67.8,71.8,54.8,62.8,33.2,31.0,57.0,68.2,39.0,66.8,57.0,68.8,82.0,24.8,72.8,69.8,48.8,52.8,15.4,69.2,68.0,66.8,10.8,14.8,9.8,13.8,14.8,def
32973,Simon Lappin,63.3333333333,67.6666666667,45.3333333333,56.3333333333,63.0,59.3333333333,64.3333333333,64.3333333333,68.3333333333,63.3333333333,62.3333333333,52.0,53.0,78.0,64.3333333333,79.3333333333,64.3333333333,65.3333333333,68.6666666667,34.0,61.3333333333,67.3333333333,61.3333333333,62.3333333333,64.3333333333,52.3333333333,57.3333333333,62.3333333333,57.3333333333,13.3333333333,15.3333333333,5.33333333333,8.33333333333,15.3333333333,mid
35725,Steven MacLean,65.3333333333,43.6666666667,64.6666666667,75.6666666667,65.6666666667,54.6666666667,63.6666666667,48.6666666667,47.6666666667,50.6666666667,66.6666666667,61.0,66.0,74.0,63.6666666667,69.3333333333,67.6666666667,91.0,81.6666666667,72.0,52.6666666667,61.6666666667,30.6666666667,64.6666666667,67.6666666667,60.6666666667,32.6666666667,31.6666666667,26.6666666667,8.66666666667,7.66666666667,15.6666666667,5.66666666667,13.6666666667,for
