variable,col1
acceleration,0.317364462689
free_kick_accuracy,0.246189935435
shot_power,0.239432746105
sprint_speed,0.210586848621
sliding_tackle,0.199083700936
jumping,0.19668689767
aggression,0.185559196454
stamina,0.177446272243
penalties,0.173868401345
agility,0.164693090959
long_passing,0.156378028922
heading_accuracy,0.153174777947
marking,0.148890720966
curve,0.138940793831
strength,0.131110171505
ball_control,0.129978536521
standing_tackle,0.126267575962
crossing,0.106847386335
positioning,0.0979589659516
volleys,0.0976917222605
short_passing,0.0901478402164
dribbling,0.0844566412601
reactions,0.0820747253585
balance,0.0768840547118
long_shots,0.0626965888909
vision,0.0599460417647
finishing,0.0558985388673
interceptions,0.0317321297926
gk_handling,0.020222326254
gk_diving,0.013063916937
gk_positioning,0.00956766710665
gk_kicking,0.00827752528439
gk_reflexes,0.00688177089648
