variable,col1
gk_positioning,0.324317241484
gk_reflexes,0.284293346574
gk_diving,0.253246738124
gk_handling,0.24744047348
gk_kicking,0.222693244644
agility,0.193920432695
reactions,0.0993782616375
sprint_speed,0.0940112454688
short_passing,0.0539945951405
stamina,0.0499623771631
acceleration,0.0248445654094
ball_control,0.0223486725075
long_passing,0.0177619749535
penalties,0.0154585355247
free_kick_accuracy,0.0134684043595
sliding_tackle,0.0116396650313
shot_power,0.0115815801779
jumping,0.0115815801779
volleys,0.00832678873147
heading_accuracy,0.00685822903172
balance,0.00558716812686
positioning,0.00558716812686
crossing,0.00542911097299
marking,0.00444049373837
curve,0.00338265316595
long_shots,0.00335797474861
finishing,0.00247283229866
standing_tackle,0.0011002581429
strength,0.000618208074664
dribbling,0.000277308951131
vision,0.000277308951131
aggression,0.000270256487856
interceptions,7.13058978911e-05
