name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Alexis,74.75,51.5,21.5,81.0,72.5,39.5,46.5,48.5,42.5,63.5,65.0,56.75,65.25,64.0,62.0,58.0,66.5,78.0,68.0,80.5,23.5,81.0,72.5,52.5,51.5,29.5,75.0,72.5,77.0,def
Roberto Lago,74.0,75.0,37.0,54.0,69.0,47.0,67.0,68.0,53.0,65.0,74.0,76.33,77.33,73.33,66.0,66.0,78.0,82.0,84.0,73.0,58.0,76.0,79.0,58.0,57.0,46.0,70.0,74.0,78.0,def
Abdoul Karim Yoda,70.75,66.75,68.75,49.75,70.25,45.75,72.75,54.75,52.75,58.75,72.25,82.75,85.75,74.5,60.75,62.0,66.75,70.5,77.5,69.5,50.5,63.75,43.75,66.5,61.75,52.75,44.5,49.0,42.75,def
Alvaro Pereira,74.0,77.33,54.33,65.33,74.33,58.33,72.67,72.0,70.67,73.0,74.67,77.0,82.0,73.0,76.33,64.0,76.33,74.33,79.0,76.0,71.0,81.33,75.33,68.33,66.33,59.33,66.0,73.33,73.0,def
Cala,72.29,59.29,45.43,75.43,72.57,46.43,55.29,76.71,36.43,68.71,69.14,66.0,68.0,64.57,67.86,68.14,69.43,83.0,73.0,69.71,60.43,75.14,77.29,35.43,46.43,45.43,68.29,72.29,73.14,def
Santiago Vergini,73.11,67.0,32.33,74.67,67.0,26.33,64.33,38.33,49.33,63.67,70.67,64.89,72.0,55.0,74.67,59.0,44.33,60.0,65.0,82.67,37.33,73.67,76.33,45.78,52.33,48.33,76.0,77.0,75.67,def
Damian Suarez,75.25,73.75,60.5,53.75,71.0,61.75,66.25,76.75,72.75,68.75,67.5,77.75,86.0,85.0,72.5,78.5,78.5,83.0,91.0,74.75,69.5,86.0,73.75,61.75,51.75,72.75,69.75,71.0,82.0,def
Emiliano Velazquez,72.0,23.67,40.67,61.33,63.33,27.67,44.33,24.67,25.67,67.33,64.67,68.0,63.67,39.33,65.33,54.0,48.0,78.0,62.0,74.33,34.0,68.67,75.33,28.67,34.67,36.67,72.33,78.0,75.0,def
Javier Noblejas,64.0,68.0,29.0,59.0,61.0,31.0,45.0,52.0,56.0,58.0,62.0,56.5,73.0,49.0,59.0,44.0,50.0,54.0,66.0,72.0,33.0,58.0,64.0,47.0,44.0,40.0,66.0,67.0,63.0,def
Carlos Vigaray,66.33,68.0,47.67,62.33,61.0,31.67,67.33,52.0,44.67,40.67,61.0,68.0,63.67,61.0,66.67,61.0,42.33,62.33,61.67,58.33,38.67,66.0,68.0,61.33,46.67,44.67,63.33,70.0,72.33,def
