variable,col1
long_shots,0.56884723793
free_kick_accuracy,0.465183990986
vision,0.449279987645
agility,0.443399374947
finishing,0.437487217291
curve,0.432300770149
jumping,0.4190432903
positioning,0.41617911311
penalties,0.401613430606
shot_power,0.379854672663
reactions,0.3483790555
aggression,0.313857466082
standing_tackle,0.311031522866
crossing,0.307590177002
dribbling,0.304455009144
volleys,0.301882585381
short_passing,0.288562124339
heading_accuracy,0.280690200734
acceleration,0.259022940329
balance,0.249188523038
sliding_tackle,0.245443511029
sprint_speed,0.244696220893
long_passing,0.233655376971
strength,0.170910363786
ball_control,0.153174127384
stamina,0.124350782853
interceptions,0.11831342889
gk_handling,0.0874135403386
marking,0.0730002870426
gk_kicking,0.0628511939012
gk_reflexes,0.04955870136
gk_diving,0.0331930971954
gk_positioning,0.0255906783153
