variable,col1
gk_diving,0.469182468
reactions,0.434377808537
agility,0.218320693277
balance,0.218320693277
aggression,0.109072873773
crossing,0.101762468687
jumping,0.094907405919
long_passing,0.0849622741594
short_passing,0.0599696931413
gk_kicking,0.0575655909959
curve,0.0337632431207
shot_power,0.0247880697815
acceleration,0.0207903486791
gk_handling,0.0167689954904
strength,0.0155307846974
stamina,0.0103691433951
gk_reflexes,0.0103691433951
ball_control,0.00593171286993
sprint_speed,0.00365449437436
interceptions,0.00357053679496
gk_positioning,0.00312548913749
standing_tackle,0.00116773962043
sliding_tackle,0.000603687970748
dribbling,0.00039322828966
free_kick_accuracy,0.000242668510897
vision,0.000191540080415
positioning,0.00015805166198
marking,0.000104952479766
volleys,2.62381199416e-05
heading_accuracy,2.65392135625e-06
long_shots,2.65392135625e-06
penalties,2.65392135625e-06
finishing,0.0
