name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Gustavo Cabral,77.0,35.0,22.0,79.0,71.0,28.0,49.0,33.0,48.0,51.0,61.0,51.0,53.5,60.0,69.0,63.0,50.0,84.5,75.5,78.0,29.0,84.0,75.0,40.0,49.0,47.0,80.0,77.0,81.0,11.0,7.0,11.0,7.0,11.0,def
Fabian Orellana,78.38,72.75,73.62,66.62,72.88,60.62,85.62,83.62,76.88,57.62,82.5,85.38,78.62,89.25,76.88,81.5,58.62,73.0,63.0,45.0,77.12,53.62,30.62,72.0,73.25,71.62,20.62,36.62,24.62,11.62,6.62,14.62,15.62,14.62,mid
Marcelo Diaz,73.2,73.2,51.2,62.2,78.2,65.2,67.2,81.2,80.2,75.2,78.2,69.6,68.4,78.0,60.2,87.6,81.2,81.0,85.0,59.0,80.2,71.2,78.2,56.2,72.2,65.2,74.2,66.2,67.2,1.2,1.2,1.2,1.2,1.2,mid
Claudio Beauvue,77.09,71.0,77.55,87.55,72.55,78.18,75.91,60.55,65.09,63.55,75.45,89.64,89.27,90.0,72.18,86.45,77.09,92.91,70.91,57.36,65.82,53.55,42.55,77.82,70.0,69.18,37.36,44.55,20.55,15.55,14.55,7.55,14.55,12.55,for
Augusto Fernandez,77.5,69.5,69.0,59.0,79.5,57.0,76.5,64.5,60.5,79.5,81.0,68.5,74.0,75.0,84.0,64.0,74.0,59.0,67.5,67.0,72.5,74.5,72.0,79.5,81.5,61.5,35.5,62.0,55.5,8.5,12.5,5.5,15.5,8.5,mid
Daniel Wass,76.71,77.43,70.71,69.43,78.14,69.86,77.14,72.71,84.71,72.29,76.43,77.0,78.29,79.0,78.43,69.0,85.43,71.0,81.43,68.57,72.71,66.0,73.71,73.71,74.71,63.71,64.71,69.0,71.43,10.71,8.71,9.71,12.71,12.71,mid
John Guidetti,72.8,47.4,73.2,63.4,71.4,69.6,69.8,68.6,73.2,52.4,75.8,63.0,65.2,65.0,74.4,66.6,83.2,68.0,64.2,78.4,74.2,74.4,33.4,74.6,59.4,80.4,23.0,25.4,24.4,11.4,12.4,13.4,5.4,10.4,for
Andreu Fontas,77.0,60.0,45.0,73.0,79.0,46.0,58.0,58.0,52.0,82.0,68.0,36.67,53.0,56.0,77.0,43.0,58.0,55.0,74.33,82.0,47.0,77.0,81.0,43.0,56.0,52.0,78.0,82.0,78.0,16.0,14.0,11.0,16.0,9.0,def
Iago Aspas,77.14,69.57,78.0,71.0,72.29,74.14,82.71,83.57,75.57,64.57,80.71,86.0,77.43,91.71,83.29,77.71,71.57,68.0,67.86,53.14,74.43,62.57,35.57,81.14,72.86,73.57,22.14,20.57,21.0,11.57,15.57,8.57,11.57,12.57,for
Hugo Mallo,78.0,84.0,28.0,63.0,74.0,28.0,69.0,78.0,38.0,68.0,79.0,77.0,78.67,78.0,78.0,67.0,74.0,82.0,79.67,69.0,39.0,76.0,80.0,46.0,64.0,23.0,75.0,78.0,82.0,14.0,9.0,7.0,9.0,15.0,def
Nolito,82.0,81.0,82.0,45.0,80.0,65.0,85.0,83.0,80.0,67.0,83.0,79.5,76.0,84.0,84.0,81.0,74.0,63.0,74.5,62.0,81.0,73.0,58.0,82.0,81.0,74.0,30.0,39.0,25.0,10.0,15.0,12.0,8.0,8.0,for
Carles Planas,71.0,70.0,32.0,61.0,68.0,23.0,57.0,62.0,50.0,58.0,70.0,70.0,75.0,69.0,74.0,75.0,49.0,85.5,76.5,67.0,37.0,73.0,75.0,57.0,47.0,51.0,74.0,64.0,69.0,15.0,11.0,15.0,12.0,14.0,def
Pablo Hernandez,75.5,53.5,71.5,55.0,80.0,71.0,79.5,74.5,68.5,76.5,77.0,78.5,76.0,72.0,68.5,54.5,69.5,69.0,70.0,75.0,71.0,55.5,56.0,75.0,75.5,61.5,34.5,53.0,42.5,5.5,14.5,8.5,14.5,9.5,mid
Sergio Alvarez,75.0,19.5,18.0,18.0,36.5,18.0,19.0,20.0,18.0,38.5,18.5,46.0,52.0,61.5,69.5,67.0,30.0,85.0,44.0,62.0,20.5,41.5,21.5,21.0,31.5,24.5,18.0,18.5,19.0,72.0,74.5,74.0,77.5,78.5,gk
Sergi Gomez,73.0,34.0,35.0,73.0,77.0,37.0,51.0,49.0,46.0,75.0,73.0,54.0,53.0,63.0,74.0,55.0,45.0,66.0,61.0,74.0,47.0,69.0,76.0,52.0,56.0,41.0,72.0,74.0,70.0,15.0,16.0,11.0,11.0,7.0,def
Johny,74.0,75.0,27.5,61.0,62.5,43.5,62.0,59.5,53.5,58.5,70.5,78.5,83.0,75.0,63.0,76.0,65.5,79.0,81.0,69.5,44.5,75.5,75.0,52.5,49.5,45.5,75.5,75.5,80.0,6.5,9.5,11.5,9.5,5.5,def
Ruben Blanco,68.5,18.0,18.0,15.0,35.0,19.0,17.0,18.0,13.0,29.0,10.0,54.0,52.0,52.0,61.0,57.0,25.0,62.0,44.0,35.0,15.0,22.0,22.0,11.0,33.0,22.0,22.0,11.0,11.0,72.5,78.5,65.0,65.5,62.0,gk
Nemanja Radoja,72.4,43.4,35.4,48.4,76.2,31.4,48.6,36.4,35.4,76.4,65.8,63.0,61.4,58.0,76.0,54.6,50.4,64.0,68.0,67.8,40.4,76.4,72.8,35.4,66.0,41.4,72.4,72.4,65.8,10.4,12.4,11.4,8.4,6.4,mid
Theo Bongonda,69.86,64.71,52.71,38.71,67.14,57.71,78.14,53.71,62.71,58.71,79.43,82.29,80.71,87.0,67.86,65.0,60.71,63.0,54.71,38.71,56.71,29.71,29.71,67.57,56.71,56.71,19.29,29.71,28.71,11.71,14.71,8.71,14.71,6.71,for
