name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Pepe,84.0,46.0,46.0,80.0,67.0,23.0,58.0,44.0,47.0,60.0,57.0,68.0,77.0,62.0,74.0,58.0,63.0,76.0,72.0,83.0,56.0,94.0,85.0,40.0,58.0,57.0,84.0,88.0,90.0,8.0,15.0,5.0,9.0,10.0,def
Karim Benzema,85.8,75.0,88.0,78.0,85.6,77.0,82.0,79.0,73.0,47.0,86.0,82.2,84.0,75.8,83.0,62.2,83.0,70.2,75.0,78.0,78.0,65.0,22.0,87.0,82.6,82.0,15.4,17.0,14.6,13.0,11.0,5.0,5.0,7.0,for
Marcelo,82.67,85.0,65.33,67.0,79.33,54.0,83.0,80.0,67.0,76.0,86.0,78.33,83.0,79.0,85.0,84.0,83.0,77.67,81.33,75.0,65.0,86.0,83.0,67.0,70.0,59.0,77.33,81.67,85.0,12.0,5.0,5.0,5.0,9.0,def
Cristiano Ronaldo,92.6,82.4,95.0,86.0,81.4,87.0,93.0,88.0,77.8,72.0,91.4,91.0,93.4,91.2,91.2,62.4,94.0,94.0,88.4,79.0,93.0,62.4,27.0,92.2,81.0,85.0,22.0,31.0,23.0,7.0,11.0,15.0,14.0,11.0,for
Sergio Ramos,87.0,74.0,60.0,86.0,76.0,66.0,57.0,73.0,68.0,70.0,83.0,78.0,79.0,82.0,82.0,60.0,77.0,91.0,83.5,80.0,55.0,83.0,88.0,52.0,63.0,68.0,85.0,89.0,90.0,11.0,8.0,9.0,7.0,11.0,def
Luka Modric,87.0,78.0,71.0,55.0,86.67,75.0,86.0,80.0,77.67,84.0,92.0,78.0,74.0,93.0,88.0,94.0,72.67,67.0,86.33,62.67,82.0,62.0,73.0,79.0,89.0,80.0,69.0,75.0,73.0,13.0,9.0,7.0,14.0,9.0,mid
Gareth Bale,87.0,84.0,81.0,74.0,84.0,76.0,87.0,87.0,85.0,80.0,85.0,93.0,95.0,75.75,84.0,65.0,87.0,67.0,89.88,79.0,88.0,77.0,59.0,83.0,77.75,76.0,60.0,65.0,62.0,15.0,15.0,11.0,5.0,6.0,mid
Alvaro Arbeloa,79.0,75.5,53.0,69.5,74.0,48.0,59.0,56.0,47.0,70.0,67.0,67.0,74.0,60.0,77.0,60.0,72.0,68.0,72.5,77.0,47.0,78.0,83.0,59.0,57.0,49.0,83.0,82.0,86.0,10.0,13.0,9.0,6.0,13.0,def
Francisco Casilla,80.33,26.0,17.67,17.0,29.67,22.67,16.33,24.67,26.67,23.67,21.67,32.0,49.0,46.0,70.67,58.0,25.33,70.0,43.0,79.0,17.0,45.0,21.67,16.33,45.33,27.67,16.33,18.33,15.67,82.33,81.33,79.33,81.33,80.33,gk
Keylor Navas,79.75,11.0,15.0,11.0,30.0,11.0,16.0,11.0,15.0,37.0,19.0,61.0,52.0,69.0,77.75,60.0,21.0,83.0,41.0,65.0,13.0,32.0,20.0,16.0,54.0,25.0,12.0,14.0,14.0,83.0,75.5,68.0,75.75,84.25,gk
Toni Kroos,86.2,85.4,76.0,54.0,89.4,82.8,82.6,85.6,83.0,90.4,85.6,60.8,52.8,72.6,85.0,68.4,87.0,54.0,76.0,72.8,88.6,54.0,74.4,75.6,88.0,73.0,60.0,70.4,59.0,10.0,11.0,13.0,7.0,10.0,mid
James Rodriguez,86.67,85.67,83.33,68.0,83.67,88.0,86.67,83.0,85.0,81.33,85.0,78.33,78.33,83.33,85.0,74.0,83.67,55.0,73.33,71.67,85.67,74.0,58.0,82.0,87.0,81.0,25.0,43.33,30.0,15.0,15.0,15.0,5.0,14.0,for
