variable,col1
crossing,0.276248918163
acceleration,0.25880231045
gk_kicking,0.175634063331
agility,0.163994275096
gk_reflexes,0.14139829908
reactions,0.13989196409
gk_handling,0.137937817153
gk_positioning,0.137666568234
gk_diving,0.135273026487
strength,0.0602947374984
curve,0.0574736011466
long_passing,0.055238056843
jumping,0.0519613791433
aggression,0.0519613791433
volleys,0.0418663389882
free_kick_accuracy,0.0418663389882
vision,0.0231866168639
heading_accuracy,0.0111690786518
shot_power,0.0057839487562
marking,0.0057839487562
standing_tackle,0.0057839487562
long_shots,0.00492967135637
sliding_tackle,0.00300981595494
sprint_speed,0.00279226966296
finishing,0.00220656929423
ball_control,0.00220656929423
penalties,0.00220656929423
balance,0.00123241783909
stamina,0.00123241783909
interceptions,0.000866625917704
short_passing,3.34859757121e-05
dribbling,3.34859757121e-05
positioning,3.34859757121e-05
