variable,col1
gk_positioning,0.335335398573
gk_reflexes,0.327673542265
gk_diving,0.325991371576
jumping,0.26488619105
balance,0.149985459224
gk_handling,0.11955260858
strength,0.101340739152
stamina,0.0765935480119
sprint_speed,0.05594611368
gk_kicking,0.0433216628091
short_passing,0.0291347091439
interceptions,0.02049077628
sliding_tackle,0.019148387003
ball_control,0.0155957986113
vision,0.0155957986113
marking,0.0138549242971
reactions,0.01227354442
penalties,0.0112634937081
standing_tackle,0.00968966220486
dribbling,0.00772501291374
free_kick_accuracy,0.00772501291374
agility,0.00693146604946
curve,0.0061348799641
aggression,0.00558980814027
long_shots,0.00478709675074
crossing,0.00379287599289
shot_power,0.00257466549388
finishing,0.00214094468936
positioning,0.00173286651237
heading_accuracy,0.0013700073148
acceleration,0.000767096526252
volleys,0.000527268768795
long_passing,0.000527268768795
