variable,col1
penalties,0.45796512715
reactions,0.454322869487
shot_power,0.43827349555
jumping,0.397171571623
curve,0.39481566467
free_kick_accuracy,0.379889277675
crossing,0.361267868624
acceleration,0.322927986256
balance,0.316783651381
dribbling,0.313387426832
interceptions,0.291783413238
sliding_tackle,0.270785146734
sprint_speed,0.263463651806
long_shots,0.260812193872
finishing,0.255186898231
agility,0.232587623775
heading_accuracy,0.229746983556
volleys,0.229648785754
vision,0.217711566067
long_passing,0.20510618604
positioning,0.204532094546
ball_control,0.204385661659
stamina,0.177934636012
aggression,0.175425777661
strength,0.168522483003
short_passing,0.150407175792
marking,0.122914262594
standing_tackle,0.11812029441
gk_positioning,0.114707834355
gk_reflexes,0.0786812794121
gk_kicking,0.0735245601363
gk_diving,0.0718335662301
gk_handling,0.0453729858686
