variable,col1
penalties,0.483559511002
volleys,0.462943111174
long_shots,0.443004441374
crossing,0.433286867419
free_kick_accuracy,0.426417227593
positioning,0.412026135094
curve,0.404541627919
dribbling,0.354240351812
balance,0.347770049872
finishing,0.305329378673
jumping,0.295849274201
ball_control,0.278105524278
gk_diving,0.268867451001
shot_power,0.268005440443
sliding_tackle,0.261349772167
acceleration,0.251724293728
long_passing,0.250706013356
heading_accuracy,0.197355180516
vision,0.189375616647
interceptions,0.184782219535
strength,0.184671986895
aggression,0.169314642446
stamina,0.165401560278
marking,0.158752342696
gk_reflexes,0.138565579744
reactions,0.127878202975
short_passing,0.104351985156
sprint_speed,0.0901018754935
agility,0.0886430212968
gk_positioning,0.0779901026682
standing_tackle,0.0715761520121
gk_kicking,0.0592953764262
gk_handling,0.0442176841105
