variable,col1
free_kick_accuracy,0.497631903612
interceptions,0.45961214238
volleys,0.42241244684
crossing,0.416419980702
balance,0.405939072698
agility,0.3835473079
penalties,0.374348587785
sliding_tackle,0.312043030901
dribbling,0.304685967711
heading_accuracy,0.303935160041
marking,0.301805260161
acceleration,0.296099127146
standing_tackle,0.23276630901
strength,0.226254322218
sprint_speed,0.203226805258
short_passing,0.192075127949
long_shots,0.16786661444
curve,0.153289269496
finishing,0.143085178587
jumping,0.136589258266
long_passing,0.134204395362
vision,0.133862002823
aggression,0.131889623015
shot_power,0.118487956757
stamina,0.101037855941
reactions,0.0934415640144
positioning,0.0897694474845
gk_kicking,0.0690964621443
ball_control,0.0498571072003
gk_diving,0.0428244577812
gk_positioning,0.0425530637076
gk_handling,0.0380379693652
gk_reflexes,0.021305221303
