variable,col1
aggression,0.529490505024
interceptions,0.307220702514
curve,0.296008061448
heading_accuracy,0.179071907502
penalties,0.164452822999
shot_power,0.150440500389
free_kick_accuracy,0.144544285431
standing_tackle,0.141671027147
long_shots,0.139821057885
long_passing,0.138185324641
vision,0.126999201585
jumping,0.122491524597
gk_reflexes,0.11950070745
sliding_tackle,0.116663880694
marking,0.11253237099
stamina,0.107188770277
agility,0.107117328244
ball_control,0.0995817753126
dribbling,0.0940043255525
volleys,0.0924639296302
sprint_speed,0.0834770253969
reactions,0.0797760646574
short_passing,0.0701732948281
crossing,0.0669567887414
finishing,0.0595831834099
balance,0.058486606596
gk_positioning,0.0564299016304
gk_diving,0.0521591759375
strength,0.052117476886
acceleration,0.0508011168291
positioning,0.0443083034529
gk_kicking,0.0347025338954
gk_handling,0.0015785184246
