variable,col1
agility,0.497597543163
stamina,0.482175710929
jumping,0.47911149045
ball_control,0.45622367435
free_kick_accuracy,0.456199529724
balance,0.454674978288
heading_accuracy,0.423949554697
crossing,0.399659762959
penalties,0.390222758771
marking,0.358087639693
curve,0.339033775618
positioning,0.334537664391
sprint_speed,0.33241209559
aggression,0.328475620968
long_passing,0.327804753355
long_shots,0.289103673545
interceptions,0.281783211347
volleys,0.27418783875
dribbling,0.273685471913
finishing,0.257037216641
acceleration,0.234351751965
vision,0.22733384032
reactions,0.201320924418
short_passing,0.174352289184
shot_power,0.167390082181
standing_tackle,0.119294610565
sliding_tackle,0.113320857178
strength,0.0951777570218
gk_reflexes,0.0672544784313
gk_kicking,0.0469097255165
gk_handling,0.0423387454221
gk_diving,0.0399085309825
gk_positioning,0.0350824416721
