name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Zdravko Kuzmanovic,74.33,73.22,55.56,67.44,78.56,59.44,71.56,71.56,76.44,80.78,77.33,55.0,54.0,56.0,67.44,57.0,85.11,70.0,70.0,79.0,84.78,72.22,68.89,67.44,75.89,73.0,61.67,74.67,71.89,6.44,12.44,8.44,6.44,12.44,mid
Davide Calla,63.38,66.25,66.25,49.25,59.0,62.0,65.5,70.75,62.75,55.5,63.5,70.0,74.0,71.0,55.5,67.0,67.25,63.0,74.5,82.0,59.75,62.38,40.12,67.38,51.5,65.25,22.25,32.25,22.25,5.25,15.25,11.25,13.25,11.25,mid
Matias Emilio Delgado,72.0,72.8,66.4,57.6,72.6,65.8,72.2,81.4,71.8,75.6,77.0,65.4,64.2,74.0,64.2,66.0,71.2,57.2,61.6,61.6,71.6,46.6,36.6,64.0,78.4,73.6,22.6,22.6,23.0,9.2,13.2,11.2,5.2,10.2,mid
Birkir Bjarnason,66.91,57.45,52.27,70.36,69.73,58.73,64.09,55.45,21.36,62.64,68.73,72.0,75.0,72.0,70.36,75.09,63.55,81.0,83.91,65.73,59.91,61.36,61.36,71.45,59.45,39.45,30.27,62.36,48.27,12.36,5.36,8.36,11.36,9.36,mid
Shkelzen Gashi,72.75,63.25,80.25,75.25,72.75,79.88,69.25,72.75,72.5,70.25,76.25,76.0,77.0,79.62,74.5,77.5,82.0,79.38,76.12,72.38,76.5,83.5,52.25,84.12,74.5,69.25,52.25,54.25,44.25,7.25,10.25,10.25,7.25,10.25,mid
Luca Zuffi,69.55,72.09,65.09,61.64,75.36,64.36,66.36,71.91,72.82,74.64,73.36,64.55,67.09,61.45,55.64,76.0,68.91,71.27,82.0,58.18,69.73,53.09,57.27,63.36,74.18,60.36,54.36,65.36,59.36,6.36,12.36,14.36,15.36,6.36,mid
Yoichiro Kakitani,69.71,51.43,72.0,54.43,63.29,57.0,71.0,56.43,29.43,51.57,73.71,84.86,82.57,83.0,69.57,75.71,69.14,76.71,63.86,61.86,64.86,27.43,22.86,71.14,48.86,55.43,19.0,22.0,22.0,9.43,7.43,14.43,7.43,5.43,mid
Taulant Xhaka,68.8,69.4,53.6,45.6,66.6,52.6,68.4,52.6,58.6,63.6,66.6,75.0,79.8,72.0,63.6,78.6,72.6,77.2,86.6,79.0,49.6,84.6,66.0,60.6,55.8,59.6,67.4,65.4,71.4,10.6,7.6,13.6,13.6,10.6,mid
Mohamed Elneny,70.17,67.5,65.5,51.5,72.5,38.5,67.5,61.5,60.5,70.33,72.5,63.0,65.5,71.5,61.0,65.0,73.0,71.0,92.0,70.0,72.5,71.5,65.0,62.5,69.83,61.5,66.5,69.0,65.5,6.5,14.5,14.5,11.5,5.5,mid
Renato Steffen,70.1,59.6,68.6,60.4,64.8,79.6,75.6,65.4,66.4,69.8,73.6,80.4,79.8,80.0,60.4,82.5,72.4,71.4,74.0,40.0,68.9,35.4,22.6,71.4,68.6,54.4,25.4,31.4,34.4,15.4,12.4,11.4,7.4,5.4,mid
Jean-Paul Boetius,73.8,65.8,71.6,35.4,67.2,64.4,80.2,78.8,57.4,72.8,78.6,88.8,85.6,90.0,66.4,72.0,69.4,53.0,67.8,38.0,73.6,40.4,22.4,62.6,67.0,62.4,27.4,25.4,24.4,14.4,11.4,8.4,10.4,8.4,mid
Alexander Fransson,62.7,51.9,44.2,48.2,67.7,58.5,57.6,56.5,55.6,62.6,66.6,75.6,72.4,74.9,65.9,68.0,52.3,58.5,72.3,53.8,55.0,59.6,56.2,54.0,67.6,48.1,62.0,55.0,51.5,9.2,6.2,10.2,9.2,10.2,mid
