variable,col1
jumping,0.565260465827
shot_power,0.332422372093
reactions,0.320925980226
vision,0.291111742036
sprint_speed,0.253522881442
volleys,0.248089897863
long_shots,0.225840622218
acceleration,0.22507398082
strength,0.207291489729
heading_accuracy,0.200559847821
agility,0.168840162659
marking,0.166333109675
stamina,0.165279446398
free_kick_accuracy,0.1650506285
long_passing,0.164927273214
balance,0.161283261739
penalties,0.152082675955
finishing,0.14961326487
crossing,0.134863800898
standing_tackle,0.134504490904
dribbling,0.101107570116
aggression,0.0664061446686
positioning,0.064181179542
ball_control,0.0619226502049
gk_handling,0.059226714336
short_passing,0.0466938291371
curve,0.04645203993
interceptions,0.035829221391
sliding_tackle,0.0223450600712
gk_positioning,0.0210370502466
gk_kicking,0.0200957128866
gk_reflexes,0.0181118098874
gk_diving,0.00371362269842
