variable,col1
finishing,0.590039116523
balance,0.570880756548
interceptions,0.567197772096
strength,0.531386485677
jumping,0.511046983601
curve,0.501047581658
marking,0.499847521106
free_kick_accuracy,0.489648121592
heading_accuracy,0.416133167997
long_passing,0.411026392603
agility,0.408189330525
standing_tackle,0.37627513582
volleys,0.364071552825
sliding_tackle,0.358571046088
sprint_speed,0.342469680631
penalties,0.331970551188
crossing,0.329111078913
positioning,0.310570307324
aggression,0.30721885907
stamina,0.303704448946
short_passing,0.283028591646
gk_reflexes,0.261229587859
vision,0.253846850488
long_shots,0.245982012898
shot_power,0.238534773892
acceleration,0.215842143654
dribbling,0.183642917819
gk_kicking,0.171865955256
gk_positioning,0.157016834235
reactions,0.154099198584
ball_control,0.146748210387
gk_diving,0.0864536319825
gk_handling,0.0813034005676
