variable,col1
long_shots,0.519754818145
crossing,0.385953070592
vision,0.331400176522
free_kick_accuracy,0.32482829556
ball_control,0.301930571882
strength,0.300762147046
marking,0.299391099108
shot_power,0.296861541922
volleys,0.279285233888
aggression,0.254842592272
sliding_tackle,0.247883460934
long_passing,0.239152244703
stamina,0.223265804971
penalties,0.223156926903
heading_accuracy,0.221517780951
jumping,0.221422307384
curve,0.218281780464
positioning,0.214966847942
sprint_speed,0.211976204579
agility,0.197578413149
dribbling,0.194234975417
short_passing,0.186088460677
interceptions,0.176730685027
finishing,0.171621709411
standing_tackle,0.146248765434
acceleration,0.136637331071
reactions,0.135060433289
balance,0.130282514788
gk_diving,0.0838497227404
gk_handling,0.0601501535346
gk_reflexes,0.0280937058632
gk_positioning,0.0215906055346
gk_kicking,0.0151996182989
