variable,col1
crossing,0.966342278432
penalties,0.200159688936
sprint_speed,0.11626344396
free_kick_accuracy,0.0968058486059
gk_kicking,0.0859528002482
acceleration,0.0730729332057
gk_handling,0.048738173891
long_shots,0.0466252433076
standing_tackle,0.0453348806937
sliding_tackle,0.0377747616246
curve,0.0324506494919
balance,0.0316437709905
finishing,0.0302921877144
dribbling,0.0242014621515
volleys,0.0217619498783
stamina,0.0194618990928
strength,0.0182682333014
marking,0.0165270922266
jumping,0.0149254126394
positioning,0.0141768709036
heading_accuracy,0.0133985156619
aggression,0.0133985156619
vision,0.0108375064672
gk_positioning,0.00608210636291
interceptions,0.00554222497849
ball_control,0.00413177305664
long_passing,0.00197773568691
gk_diving,0.00197773568691
gk_reflexes,0.000781873784904
shot_power,0.000416053319953
short_passing,0.000285441145335
agility,0.000195468446226
reactions,0.000195468446226
