variable,col1
jumping,0.641112108519
finishing,0.319506368093
positioning,0.311430578361
acceleration,0.305881150024
shot_power,0.237675009122
curve,0.227576912502
long_passing,0.221169026664
long_shots,0.220295759145
balance,0.217991925318
dribbling,0.212601496854
sprint_speed,0.209570383892
marking,0.17721088895
heading_accuracy,0.161268606682
interceptions,0.150715584278
vision,0.142585976915
crossing,0.132123792202
stamina,0.131736103335
agility,0.124435249392
ball_control,0.123875243492
penalties,0.102046683177
strength,0.0997662469581
reactions,0.0973012183812
aggression,0.0789403445029
short_passing,0.0752395578895
sliding_tackle,0.0665221805368
standing_tackle,0.0474093636063
volleys,0.0400906987525
gk_kicking,0.0337350687664
free_kick_accuracy,0.033654013216
gk_handling,0.0331159889826
gk_reflexes,0.015595781243
gk_positioning,0.00497746094806
gk_diving,0.00284322929983
