name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,position
Gilles Yapi,73.75,65.5,57.5,47.5,74.5,58.5,66.5,68.5,74.75,75.0,71.5,79.75,81.25,65.0,73.5,79.5,73.25,48.5,60.5,78.5,76.25,81.5,62.0,65.5,67.25,54.5,mid
Cabral,65.0,57.0,46.0,74.0,72.0,44.0,32.0,40.0,65.0,67.0,67.0,70.0,76.0,69.0,75.0,61.0,78.0,61.0,75.0,69.0,71.0,65.0,45.0,64.0,70.0,59.0,mid
Mario Gavranovic,70.62,42.38,67.25,64.38,70.38,63.38,39.62,49.12,53.38,80.0,79.0,81.0,74.0,67.88,83.0,67.25,69.0,57.38,54.38,44.38,80.12,67.25,65.38,32.38,38.38,23.38,mid
Christian Schneuwly,67.78,62.78,64.89,39.22,65.44,58.67,56.67,50.22,67.0,66.0,69.44,77.22,64.44,66.44,64.0,70.33,64.11,66.0,44.67,53.22,77.56,71.67,54.22,24.22,34.67,37.22,mid
Burim Kukeli,63.0,56.67,41.67,56.67,64.67,47.67,47.67,52.67,57.33,56.33,66.0,65.0,70.0,63.67,66.33,79.0,63.67,47.67,65.33,63.67,59.67,61.33,54.67,62.67,70.67,57.0,mid
Philippe Koch,64.71,65.14,35.29,54.29,62.43,36.29,59.86,30.29,52.29,72.0,74.0,63.0,72.0,38.86,80.0,72.0,61.71,45.29,55.29,69.14,58.29,41.29,30.29,68.29,68.14,66.14,mid
Oliver Buff,64.8,52.8,50.8,38.8,68.8,60.8,64.6,50.8,65.8,67.0,70.8,70.0,74.0,58.8,61.0,69.0,59.0,63.8,65.6,56.8,71.8,70.8,46.8,51.8,54.8,64.8,mid
Vinicius,65.6,67.8,36.8,55.8,61.8,37.8,67.8,65.8,59.8,77.0,79.0,82.0,71.0,69.8,64.0,69.0,74.0,64.8,54.8,61.8,49.8,45.8,54.8,62.2,66.2,66.2,mid
Maxime Dominguez,55.0,47.0,48.0,42.0,49.0,40.0,44.0,46.0,51.0,60.0,67.0,59.0,82.0,52.0,72.0,45.0,40.0,35.0,44.0,24.0,44.0,53.0,45.0,42.0,29.0,37.0,mid
Artem Simonyan,55.2,49.4,35.4,48.4,66.4,46.4,52.4,41.4,59.4,65.0,68.0,56.0,72.0,53.4,53.0,41.0,47.0,29.4,44.4,30.4,49.4,53.4,48.4,40.4,44.4,53.4,mid
Sangone Sarr,53.33,53.0,42.0,48.0,68.0,43.0,55.0,48.0,64.0,64.0,63.0,59.0,79.0,47.0,55.0,70.0,52.0,37.0,71.0,36.0,42.0,53.0,52.0,39.0,40.0,51.0,mid
Anto Grgic,52.5,41.5,31.0,45.0,58.0,29.0,36.0,41.0,58.0,61.0,48.0,54.0,52.0,47.0,58.0,50.0,68.0,32.0,61.0,48.0,40.0,46.5,43.0,47.5,56.0,59.0,mid
