variable,col1
shot_power,0.491344099056
volleys,0.459041726448
finishing,0.456636635031
dribbling,0.456017908892
sprint_speed,0.440786549052
stamina,0.430456167086
acceleration,0.386949213736
curve,0.364666712853
crossing,0.329914145353
aggression,0.327857229531
heading_accuracy,0.321805778956
long_shots,0.31010829868
positioning,0.27999776264
strength,0.269500036058
ball_control,0.264060992985
long_passing,0.259677141108
free_kick_accuracy,0.245699002674
vision,0.239834245888
jumping,0.235216813958
agility,0.198276975642
short_passing,0.168067507654
interceptions,0.16758409744
marking,0.160562385155
sliding_tackle,0.14124105562
penalties,0.100560265576
standing_tackle,0.0931393283843
balance,0.0925454768797
reactions,0.0895192985354
gk_positioning,0.0531289464604
gk_handling,0.0488259766628
gk_kicking,0.0463779884493
gk_diving,0.0387218490032
gk_reflexes,0.0318783885509
