variable,col1
strength,0.609741003853
stamina,0.575255809066
positioning,0.548078032446
finishing,0.49121454011
interceptions,0.490080307659
aggression,0.474294895422
long_shots,0.474160931921
jumping,0.447769964204
sliding_tackle,0.433767041915
marking,0.400660994282
sprint_speed,0.383358738755
crossing,0.352706356987
free_kick_accuracy,0.344246539941
standing_tackle,0.336548001535
curve,0.326505946675
penalties,0.317296731822
heading_accuracy,0.313610844177
vision,0.292794790591
long_passing,0.262265041418
short_passing,0.256307916036
volleys,0.242752722517
dribbling,0.240738892437
balance,0.240059847048
reactions,0.23569580394
agility,0.21701025814
shot_power,0.161872465928
acceleration,0.150765842908
gk_reflexes,0.0844270335391
ball_control,0.0824892298488
gk_diving,0.081832572511
gk_kicking,0.0558788613091
gk_handling,0.0451245233427
gk_positioning,0.0306875177172
